Full Location Name	Latitude	Longitude	Public Notes	Private Notes	Trimmed Name	Alternate Names	Parent	Secondary Parents	Validity
Sweeney Creek, Ipswich, Essex County, Massachusetts, USA	42.721111	-70.847500	.	coords from paper	Sweeney Creek	.	Ipswich, Essex County, Massachusetts, USA	.	.
Bandar Abbas, Hormozgan Province, Iran	27.183333	56.266667	.	.	Bandar Abbas	.	Hormozgan Province, Iran	Persian Gulf coast of Iran	.
Gav Bandi, Hormozgan Province, Iran	25.815000	57.505000	.	.	Gav Bandi	.	Hormozgan Province, Iran	Gulf of Oman coast of Iran	.
Qeshm, Hormozgan Province, Iran	26.802807	55.908400	.	.	Qeshm	.	Hormozgan Province, Iran	Persian Gulf coast of Iran	.
Khor Al-Zubair, Iraq	30.189840	47.889520	.	.	Khor Al-Zubair	.	Iraq	.	.
Urauchi River, Iriomote-jima, Okinawa, Ryukyu Islands, Japan	24.400000	123.766667	.	coords from paper	Urauchi River	.	Iriomote-jima, Okinawa, Ryukyu Islands, Japan	.	.
Caleta Black, Isabela Island, Galápagos Islands	-0.199577	-91.383597	.	.	Caleta Black	.	Isabela Island, Galápagos Islands	.	.
Bahia Charagato, Isla de Cubagua, Nueva Esparta, Venezuela	10.824492	-64.165194	.	.	Bahia Charagato	Charagato Bay	Isla de Cubagua, Nueva Esparta, Venezuela	.	.
Tenacatita Bay, Jalisco, Mexico	19.280694	-104.824033	.	.	Tenacatita Bay	.	Jalisco, Mexico	.	.
Kingston Harbor, Jamaica	17.966745	-76.817183	.	.	Kingston Harbor	.	Jamaica	.	.
Rio Bueno Harbor, Jamaica	18.474683	-77.454958	.	.	Rio Bueno Harbor	.	Jamaica	.	.
Trelawny, Jamaica	18.489757	-77.649641	.	.	Trelawny	.	Jamaica	.	.
Honshu, Japan	36.303378	138.472577	Island	.	Honshu	.	Japan	.	.
Kyūshū, Japan	32.672204	131.000096	Island	.	Kyūshū	.	Japan	.	.
Ogasawara Islands, Japan	26.998056	142.218056	.	.	Ogasawara Islands	Bonin Islands	Japan	.	.
Ryukyu Islands, Japan	26.500000	128.000000	.	.	Ryukyu Islands	.	Japan	.	.
Shikoku, Japan	33.807697	133.493078	Island	.	Shikoku	.	Japan	.	.
Jakarta, Java, Indonesia	-6.119580	106.839493	.	.	Jakarta	Batavia	Java, Indonesia	.	.
Semarang, Central Java, Java, Indonesia	-6.953415	110.423609	.	.	Semarang	.	Central Java, Java, Indonesia	.	.
West Java, Java, Indonesia	-6.839444	107.462222	.	.	West Java	Cidadap;Tjidadap	Java, Indonesia	.	.
Wanggang, Jiangsu, China	33.250000	120.800000	.	.	Wanggang	.	Jiangsu, China	.	.
Namdong, Jindo Island, South Korea	34.364180	126.154362	.	.	Namdong	.	Jindo Island, South Korea	.	.
Mersing, Johor, Malaysia	2.435891	103.838755	.	.	Mersing	.	Johor, Malaysia	Eastern Malaysia	.
Yafusa River, Kagoshima, Kyūshū, Japan	31.683333	130.283333	.	coords from paper	Yafusa River	.	Kagoshima, Kyūshū, Japan	.	.
Nagaura Island, Kami-Amakusa, Kumamoto, Kyūshū, Japan	32.542119	130.416888	.	.	Nagaura Island	.	Kami-Amakusa, Kumamoto, Kyūshū, Japan	.	.
Manora, Karachi, Sindh, Pakistan	24.803309	66.966150	.	.	Manora	.	Karachi, Sindh, Pakistan	.	.
Sandspit, Karachi, Sindh, Pakistan	24.840235	66.910143	.	.	Sandspit	.	Karachi, Sindh, Pakistan	.	.
Gazi, Kwale County, Kenya	-4.430110	39.514107	.	.	Gazi	.	Kwale County, Kenya	.	.
Gongoni, Kilifi County, Kenya	-3.830000	39.770000	.	.	Gongoni	.	Kilifi County, Kenya	.	.
Kilifi Creek, Kilifi County, Kenya	-3.629666	39.822649	.	.	Kilifi Creek	.	Kilifi County, Kenya	.	.
Mida Creek, Kilifi County, Kenya	-3.370846	39.966498	.	.	Mida Creek	Watamu Marine National Park	Kilifi County, Kenya	.	.
Mombasa, Kenya	-4.050000	39.666667	.	.	Mombasa	.	Kenya	.	.
Ayiramthengu, Kollam District, Kerala, India	9.120680	76.484788	.	.	Ayiramthengu	.	Kollam District, Kerala, India	.	.
Kochi, Ernakulam District, Kerala, India	9.966667	76.283333	.	.	Kochi	Cochin	Ernakulam District, Kerala, India	.	.
Bernoulli Island, Kimberley, Western Australia, Australia	-15.024312	124.779846	.	.	Bernoulli Island	.	Kimberley, Western Australia, Australia	.	.
Heywood Island, Kimberley, Western Australia, Australia	-15.339668	124.327626	.	.	Heywood Island	.	Kimberley, Western Australia, Australia	.	.
Irvine Island, Kimberley, Western Australia, Australia	-16.074890	123.536524	.	.	Irvine Island	.	Kimberley, Western Australia, Australia	.	.
Shirley Island, Kimberley, Western Australia, Australia	-16.266521	123.441465	.	.	Shirley Island	.	Kimberley, Western Australia, Australia	.	.
Gilbert Islands, Kiribati	-1.351184	176.444887	.	.	Gilbert Islands	.	Kiribati	.	.
Tabuaeran, Kiribati Line Islands, Kiribati	3.860000	-159.364444	.	.	Tabuaeran	Fanning Island	Kiribati Line Islands, Kiribati	.	.
Vallarpadam, Kochi, Ernakulam District, Kerala, India	9.997196	76.248164	.	.	Vallarpadam	.	Kochi, Ernakulam District, Kerala, India	.	.
Vypin, Kochi, Ernakulam District, Kerala, India	10.085326	76.208586	.	.	Vypin	Vypeen	Kochi, Ernakulam District, Kerala, India	.	.
Pero, Kodi, Sumba, East Nusa Tenggara, Indonesia	-9.597575	118.971526	.	.	Pero	.	Kodi, Sumba, East Nusa Tenggara, Indonesia	.	.
South Korea	34.908948	128.083548	.	.	South Korea	.	.	Korea	.
Western Korea	37.398801	126.620379	.	.	Western Korea	.	Korea	.	.
Amakusa, Kumamoto, Kyūshū, Japan	32.467153	130.205650	.	.	Amakusa	.	Kumamoto, Kyūshū, Japan	.	.
Kami-Amakusa, Kumamoto, Kyūshū, Japan	32.535967	130.431026	.	.	Kami-Amakusa	.	Kumamoto, Kyūshū, Japan	.	.
Ariake Sea, Kyūshū, Japan	33.001286	130.336561	.	.	Ariake Sea	.	Kyūshū, Japan	.	.
Fukuoka, Kyūshū, Japan	33.603592	130.376949	Prefecture	.	Fukuoka	.	Kyūshū, Japan	.	.
Kagoshima, Kyūshū, Japan	30.335784	130.512779	Prefecture	.	Kagoshima	.	Kyūshū, Japan	.	.
Kumamoto, Kyūshū, Japan	32.545295	130.422114	Prefecture	.	Kumamoto	.	Kyūshū, Japan	.	.
Miyazaki, Kyūshū, Japan	32.261271	131.574571	Prefecture	.	Miyazaki	.	Kyūshū, Japan	.	.
Nagasaki, Kyūshū, Japan	32.783333	129.866667	Prefecture	.	Nagasaki	.	Kyūshū, Japan	.	.
El Sunzal, La Libertad, El Salvador	13.493416	-89.393171	.	River south of San Salvador	El Sunzal	Zunzal	La Libertad, El Salvador	.	.
La Herradura, La Paz, El Salvador	13.341902	-88.980609	.	.	La Herradura	.	La Paz, El Salvador	.	.
Los Blancos, La Paz, El Salvador	13.324894	-88.962076	.	.	Los Blancos	.	La Paz, El Salvador	.	.
Gulf of Fonseca, La Unión, El Salvador	13.293333	-87.794153	.	.	Gulf of Fonseca (El Salvador)	.	La Unión, El Salvador	.	.
Blue Beach, Laguna Kiani, Vieques, Puerto Rico	18.117483	-65.561533	.	.	Blue Beach	.	Laguna Kiani, Vieques, Puerto Rico	.	.
Tanjung Bungin, Lampung, Sumatra, Indonesia	-4.551900	105.904400	.	.	Tanjun Bungin	.	Lampung, Sumatra, Indonesia	.	.
Bora Bora, Leeward Islands, Society Islands, French Polynesia	-16.494444	-151.736389	.	.	Bora Bora	.	Leeward Islands, Society Islands, French Polynesia	.	.
Maupiti, Leeward Islands, Society Islands, French Polynesia	-16.440083	-152.274250	.	.	Maupiti	.	Leeward Islands, Society Islands, French Polynesia	.	.
Raiatea, Leeward Islands, Society Islands, French Polynesia	-16.816667	-151.450000	.	.	Raiatea	.	Leeward Islands, Society Islands, French Polynesia	.	.
Puerto Limón, Limon, Costa Rica	9.999661	-83.024624	.	.	Puerto Limón	.	Limon, Costa Rica	.	.
Kuta, Lombok, West Nusa Tenggara, Indonesia	-8.894290	116.286233	.	Southern Lombok	Kuta (Lombok)	.	Lombok, West Nusa Tenggara, Indonesia	.	.
Labuan Tereng, Lombok, West Nusa Tenggara, Indonesia	-8.741538	116.071130	.	.	Labuan Tereng	.	Lombok, West Nusa Tenggara, Indonesia	.	.
Cold Spring Harbor, Huntington, Suffolk County, New York, USA	40.861944	-73.467222	.	.	Cold Spring Harbor	.	Huntington, Suffolk County, New York, USA	.	.
Flax Pond, Old Field, Suffolk County, New York, USA	40.961748	-73.139930	.	.	Flax Pond	.	Old Field, Suffolk County, New York, USA	.	.
North Sea, Suffolk County, New York, USA	40.952477	-72.403469	.	.	North Sea	.	Suffolk County, New York, USA	.	.
Bay Champagne, Lafourche Parish, Louisiana, USA	29.117219	-90.177827	.	.	Bay Champagne	.	Lafourche Parish, Louisiana, USA	.	.
Cameron, Cameron Parish, Louisiana, USA	29.788056	-93.278333	.	.	Cameron	.	Cameron Parish, Louisiana, USA	.	.
Grand Isle, Jefferson Parish, Louisiana, USA	29.227778	-90.012222	.	.	Grand Isle	.	Jefferson Parish, Louisiana, USA	.	.
New Orleans, Orleans Parish, Louisiana, USA	29.950000	-90.066667	.	.	New Orleans	.	Orleans Parish, Louisiana, USA	.	.
Port Fourchon, Lafourche Parish, Louisiana, USA	29.100874	-90.194266	.	.	Port Fourchon	.	Lafourche Parish, Louisiana, USA	.	.
Batangas Bay, Luzon, Philippines	13.722815	121.016731	.	.	Batangas Bay	.	Luzon, Philippines	.	.
Malabon, Luzon, Philippines	14.672699	120.955711	.	.	Malabon	.	Luzon, Philippines	.	.
Manila, Luzon, Philippines	14.597323	120.965918	.	.	Manila	.	Luzon, Philippines	.	.
Isla Faly, Madagascar	-13.319847	48.476450	.	.	Isla Faly	Nossy-Faly	Madagascar	.	.
Majunga, Madagascar	-15.671680	46.305499	.	Using Mahajanga	Majunga	.	Madagascar	West coast of Madagascar	.
Aitsu Marine Biology Station, Kami-Amakusa, Kumamoto, Kyūshū, Japan	32.523376	130.424454	.	.	Aitsu Marine Biology Station	.	Kami-Amakusa, Kumamoto, Kyūshū, Japan	.	.
Mithbav Creek, Sindhudurg District, Maharashtra, India	18.975000	72.825833	.	.	Mithbav Creek	.	Sindhudurg District, Maharashtra, India	.	.
Mumbai, Maharashtra, India	18.975000	72.825833	.	.	Mumbai	Bombay	Maharashtra, India	.	.
Borneo, Malaysia	3.639235	113.363358	.	.	Borneo (Malaysia)	.	Malaysia	Borneo	.
Eastern Malaysia	3.509997	103.478503	.	.	Eastern Malaysia	.	Malaysia	Western Pacific Ocean	.
Johor, Malaysia	1.654974	103.956491	.	.	Johor	.	Malaysia	.	.
Labuan, Borneo, Malaysia	5.320322	115.211228	.	.	Labuan	.	Borneo, Malaysia	.	.
Malacca, Malaysia	2.205692	102.256136	.	.	Malacca	.	Malaysia	Western Malaysia	.
Negeri Sembilan, Malaysia	2.538506	101.795924	.	.	Negeri Sembilan	.	Malaysia	Western Malaysia	.
Pahang, Malaysia	3.487867	103.461121	.	.	Pahang	.	Malaysia	Eastern Malaysia	.
Penang, Malaysia	5.400000	100.238889	.	.	Penang	.	Malaysia	Western Malaysia	.
Sabah, Borneo, Malaysia	6.052165	117.653937	.	.	Sabah	.	Borneo, Malaysia	.	.
Selangor, Malaysia	3.085794	101.342998	.	.	Selangor	.	Malaysia	Western Malaysia	.
Terengganu, Malaysia	5.146805	103.239220	.	.	Terengganu	Trengganu	Malaysia	Eastern Malaysia	.
Tioman, Pahang, Malaysia	2.788477	104.171533	.	.	Tioman	.	Pahang, Malaysia	.	.
Western Malaysia	3.004490	101.379726	.	Using Port Klang	Western Malaysia	.	Malaysia	Indian Ocean	.
Ambon Island, Maluku Province, Maluku Islands, Indonesia	-3.638056	128.117222	.	.	Ambon Island	.	Maluku Province, Maluku Islands, Indonesia	.	.
Bacan, North Maluku Province, Maluku Islands, Indonesia	-0.616667	127.516667	.	.	Bacan	Batjan	North Maluku Province, Maluku Islands, Indonesia	.	.
Halmahera, North Maluku Province, Maluku Islands, Indonesia	0.600000	127.866667	.	.	Halmahera	.	North Maluku Province, Maluku Islands, Indonesia	.	.
Ternate, North Maluku Province, Maluku Islands, Indonesia	0.783333	127.366667	.	.	Ternate	.	North Maluku Province, Maluku Islands, Indonesia	.	.
Chubb Point Marshes, Manchester-by-the-Sea, Essex County, Massachusetts, USA	42.565556	-70.792778	.	.	Chubb Point Marshes	.	Manchester-by-the-Sea, Essex County, Massachusetts, USA	.	.
Kettle Cove, Manchester-by-the-Sea, Essex County, Massachusetts, USA	42.578056	-70.735278	.	.	Kettle Cove	.	Manchester-by-the-Sea, Essex County, Massachusetts, USA	.	.
Rikitea, Mangareva, Gambier Islands, French Polynesia	-23.120278	-134.969167	.	.	Rikitea	.	Mangareva, Gambier Islands, French Polynesia	.	.
Santiago Bay, Manzanillo, Colima, Mexico	19.119456	-104.378054	.	.	Santiago Bay	.	Manzanillo, Colima, Mexico	.	.
São Luís, Maranhão, Brazil	-2.527191	-44.309278	.	.	São Luís	.	Maranhão, Brazil	.	.
Saipan, Mariana Islands	15.183333	145.750000	.	.	Saipan	.	Mariana Islands	.	.
Lagoon Pond, Martha's Vineyard, Dukes County, Massachusetts, USA	41.444016	-70.593480	.	.	Lagoon Pond	.	Martha's Vineyard, Dukes County, Massachusetts, USA	.	.
Assateague Island, Worcester County, Maryland, USA	38.088353	-75.208408	.	.	Assateague Island	.	Worcester County, Maryland, USA	.	.
Solomons Island, Calvert County, Maryland, USA	38.321631	-76.458463	.	.	Solomons Island	.	Calvert County, Maryland, USA	.	.
Boston, Suffolk County, Massachusetts, USA	42.347693	-71.024563	.	.	Boston	.	Suffolk County, Massachusetts, USA	.	.
Buzzards Bay, Bourne, Barnstable County, Massachusetts, USA	41.759778	-70.620230	.	.	Buzzards Bay	.	Bourne, Barnstable County, Massachusetts, USA	.	.
Cape Ann, Essex County, Massachusetts, USA	42.648515	-70.592368	.	.	Cape Ann	.	Essex County, Massachusetts, USA	.	.
Danvers, Essex County, Massachusetts, USA	42.546667	-70.940278	.	.	Danvers	.	Essex County, Massachusetts, USA	.	.
Essex, Essex County, Massachusetts, USA	42.635278	-70.763056	.	.	Essex	.	Essex County, Massachusetts, USA	.	.
Falmouth, Barnstable County, Massachusetts, USA	41.544384	-70.610017	.	.	Falmouth	.	Barnstable County, Massachusetts, USA	.	.
Gloucester, Essex County, Massachusetts, USA	42.610614	-70.658932	.	.	Gloucester	.	Essex County, Massachusetts, USA	Cape Ann, Essex County, Massachusetts, USA	.
Ipswich, Essex County, Massachusetts, USA	42.721111	-70.847500	.	.	Ipswich	.	Essex County, Massachusetts, USA	.	.
Manchester-by-the-Sea, Essex County, Massachusetts, USA	42.574767	-70.772898	.	.	Manchester-by-the-Sea	.	Essex County, Massachusetts, USA	Cape Ann, Essex County, Massachusetts, USA	.
Martha's Vineyard, Dukes County, Massachusetts, USA	41.399084	-70.622378	.	.	Martha's Vineyard	.	Dukes County, Massachusetts, USA	.	.
Newbury, Essex County, Massachusetts, USA	42.776111	-70.828333	.	.	Newbury	.	Essex County, Massachusetts, USA	.	.
North Scituate, Scituate, Plymouth County, Massachusetts, USA	42.226389	-70.773889	.	.	North Scituate	.	Scituate, Plymouth County, Massachusetts, USA	.	.
Rowley, Essex County, Massachusetts, USA	42.743611	-70.836944	.	.	Rowley	.	Essex County, Massachusetts, USA	.	.
Salisbury, Essex County, Massachusetts, USA	42.832500	-70.818333	.	.	Salisbury	.	Essex County, Massachusetts, USA	.	.
Vineyard Sound, Dukes County, Massachusetts, USA	41.447626	-70.726267	.	.	Vineyard Sound	.	Dukes County, Massachusetts, USA	.	.
Wellfleet, Barnstable County, Massachusetts, USA	41.929809	-70.029953	.	.	Wellfleet	.	Barnstable County, Massachusetts, USA	.	.
West Falmouth, Falmouth, Barnstable County, Massachusetts, USA	41.605585	-70.647381	.	.	West Falmouth	.	Falmouth, Barnstable County, Massachusetts, USA	.	.
West Harwich, Harwich, Barnstable County, Massachusetts, USA	41.658179	-70.114952	.	.	West Harwich	.	Harwich, Barnstable County, Massachusetts, USA	.	.
Woods Hole, Falmouth, Barnstable County, Massachusetts, USA	41.524841	-70.672411	.	.	Woods Hole	.	Falmouth, Barnstable County, Massachusetts, USA	.	.
Green Island, Massawa, Eritrea	15.593889	39.478875	.	.	Green Island	Isola Verde	Massawa, Eritrea	.	.
Banc d'Arguin, Mauritania	20.233333	-16.100000	.	.	Banc d'Arguin	.	Mauritania	.	.
Iouik, Banc d'Arguin, Mauritania	19.849444	-16.330833	.	.	Iouik	Iwik	Banc d'Arguin, Mauritania	.	.
Nouadhibou, Mauritania	20.933333	-17.033333	.	.	Nouadhibou	Port-Etienne	Mauritania	.	.
Grand Gaube, Mauritius, Mauritius (Republic)	-20.007881	57.674298	.	.	Grand Gaube	.	Mauritius, Mauritius (Republic)	.	.
Port Louis, Mauritius, Mauritius (Republic)	-20.166667	57.516667	.	.	Port Louis	.	Mauritius, Mauritius (Republic)	.	.
Rodrigues, Mauritius (Republic)	-19.716667	63.416667	.	.	Rodrigues	.	Mauritius (Republic)	.	.
Malamani, Mayotte	-12.920805	45.149916	.	.	Malamani	.	Mayotte	.	.
Poroani, Mayotte	-12.891587	45.137574	.	.	Poroani	.	Mayotte	.	.
Estero de Urías, Mazatlán, Sinaloa, Mexico	23.213845	-106.377058	.	.	Estero de Urías	.	Mazatlán, Sinaloa, Mexico	.	.
Bockachaung, Mergui Archipelago, Myanmar	12.000000	98.000000	.	Couldn't identify; using archipelago	Bockachaung	.	Mergui Archipelago, Myanmar	.	.
Daung Kyun, Mergui Archipelago, Myanmar	12.233333	98.083333	.	.	Daung Kyun	Ross Island	Mergui Archipelago, Myanmar	.	.
Baja California Sur, Mexico	23.048625	-109.681744	State	Using San Jose del Cabo	Baja California Sur	.	Pacific coast of Mexico	.	.
Baja California, Mexico	29.993158	-115.152136	State	.	Baja California	.	Pacific coast of Mexico	.	.
Colima, Mexico	19.024206	-104.259606	State	.	Colima	.	Pacific coast of Mexico	Southwest coast of Mexico	.
Atlantic coast of Mexico	22.232511	-97.837843	.	Using Tampico	Atlantic coast of Mexico	East coast of Mexico	Mexico	Atlantic coast of North America	.
Quintana Roo, Mexico	19.980417	-87.468166	State	.	Quintana Roo	Eastern Yucatan Peninsula	Atlantic coast of Mexico	Yucatan Peninsula, Mexico	.
Guerrero, Mexico	16.863611	-99.882500	State	.	Guerrero	.	Pacific coast of Mexico	Southwest coast of Mexico	.
Gulf of California, Mexico	27.667727	-111.688870	.	Center of Gulf	Gulf of California	Sea of Cortez	Pacific coast of Mexico	.	.
Jalisco, Mexico	19.751741	-105.307419	.	.	Jalisco	.	Pacific coast of Mexico	Southwest coast of Mexico	.
Nayarit, Mexico	21.748265	-105.497750	State	.	Nayarit	.	Pacific coast of Mexico	Southwest coast of Mexico	.
Northeastern Quintana Roo, Mexico	21.118127	-86.867175	.	.	Northeastern Quintana Roo	Northeastern Yucatan Peninsula	Quintana Roo, Mexico	.	.
Oaxaca, Mexico	15.686051	-96.513327	State	.	Oaxaca	.	Pacific coast of Mexico	Southwest coast of Mexico	.
Pacific coast of Mexico	20.652450	-105.249029	.	Using Puerto Vallarta	Pacific coast of Mexico	West coast of Mexico	Mexico	Pacific coast of North America	.
Sinaloa, Mexico	24.539475	-107.849919	State	.	Sinaloa	.	Pacific coast of Mexico	Gulf of California, Mexico	.
Sonora, Mexico	29.185977	-112.206881	State	.	Sonora	.	Pacific coast of Mexico	Gulf of California, Mexico;Northern Gulf of California, Mexico	.
Southwest coast of Mexico	17.595870	-101.472418	The Pacific coast of Mexico, south of Baja California and the Gulf of California	.	Southwest coast of Mexico	.	Pacific coast of Mexico	.	.
Tamaulipas, Mexico	24.177415	-97.734503	State	.	Tamaulipas	.	Atlantic coast of Mexico	Western Gulf of Mexico	.
Veracruz, Mexico	18.754732	-95.817282	State	Gulf of Mexico	Veracruz	.	Atlantic coast of Mexico	Western Gulf of Mexico	.
Yucatan Peninsula, Mexico	21.495458	-88.539497	.	.	Yucatan Peninsula	.	Atlantic coast of Mexico	.	.
Caroline Islands, Micronesia	6.050000	147.083333	.	.	Caroline Islands	.	Micronesia	.	.
Charles E. Wheeler Salt Marsh, Milford, New Haven County, Connecticut, USA	41.178293	-73.119415	.	.	Charles E. Wheeler Salt Marsh	.	Milford, New Haven County, Connecticut, USA	.	.
Shanyu Tidal Marsh, Min River, Fuzhou, Fujian, China	26.033333	119.616667	.	.	Shanyu Tidal Marsh	.	Min River, Fuzhou, Fujian, China	.	.
Davao Gulf, Mindanao, Philippines	6.500000	125.916667	.	.	Davao Gulf	.	Mindanao, Philippines	.	.
Davao Province, Mindanao, Philippines	7.085413	125.626525	.	.	Davao Province	.	Mindanao, Philippines	.	.
Naawan, Mindanao, Philippines	8.433333	124.300000	.	.	Naawan	.	Mindanao, Philippines	.	.
Zamboanga, Mindanao, Philippines	6.916667	122.083333	.	.	Zamboanga	Samboangan	Mindanao, Philippines	.	.
Calapan, Mindoro, Philippines	13.414924	121.179281	.	.	Calapan	.	Mindoro, Philippines	.	.
Puerto Galera, Mindoro, Philippines	13.502942	120.954131	.	.	Puerto Galera	.	Mindoro, Philippines	.	.
Bay St Louis, Mississippi, USA	30.349631	-89.318494	.	.	Bay St Louis	.	Mississippi, USA	.	.
Biloxi Bay, Mississippi, USA	30.369367	-88.809741	.	.	Biloxi Bay	.	Mississippi, USA	.	.
Ocean Springs, Jackson County, Mississippi, USA	30.410000	-88.797500	.	.	Ocean Springs	.	Jackson County, Mississippi, USA	.	.
Ha'apiti, Mo'orea, Windward Islands, Society Islands, French Polynesia	-17.564349	-149.871179	.	.	Ha'apiti	.	Mo'orea, Windward Islands, Society Islands, French Polynesia	.	.
Lake Tema'e, Mo'orea, Windward Islands, Society Islands, French Polynesia	-17.484901	-149.768944	.	.	Lake Tema'e	.	Mo'orea, Windward Islands, Society Islands, French Polynesia	.	.
Rabat, Morocco	34.033333	-6.833333	.	.	Rabat	.	Morocco	.	.
Tangier, Morocco	35.766667	-5.800000	.	.	Tangier	.	Morocco	.	.
Isla Montague, Baja California, Mexico	31.754232	-114.757441	.	Gulf of California	Isla Montague	.	Gulf coast of Baja California, Mexico	.	.
Inhaca Island, Mozambique	-26.016667	32.950000	.	.	Inhaca Island	.	Mozambique	.	.
Maputo Bay, Mozambique	-25.983333	32.700000	.	.	Maputo Bay	.	Mozambique	.	.
Zambezi River, Mozambique	-18.598156	36.251691	.	.	Zambezi River	.	Mozambique	.	.
Andheri, Mumbai, Maharashtra, India	19.146745	72.788812	.	.	Andheri	.	Mumbai, Maharashtra, India	.	.
Bandra, Mumbai, Maharashtra, India	19.054444	72.840556	.	.	Bandra	.	Mumbai, Maharashtra, India	.	.
Elephanta Island, Mumbai, Maharashtra, India	18.960000	72.935000	.	.	Elephanta Island	.	Mumbai, Maharashtra, India	.	.
Madh Island, Mumbai, Maharashtra, India	19.146745	72.788812	.	.	Madh Island	.	Mumbai, Maharashtra, India	.	.
Dawei, Myanmar	14.083333	98.200000	.	.	Dawei	Tavoy	Myanmar	.	.
Maungmagan Islands, Myanmar	14.150000	97.783333	.	.	Maungmagan Islands	.	Myanmar	.	.
Mergui Archipelago, Myanmar	12.000000	98.000000	.	.	Mergui Archipelago	.	Myanmar	.	.
San Blas, Nayarit, Mexico	21.531420	-105.286311	.	Pacific coast	San Blas	.	Nayarit, Mexico	.	.
Port Dickson, Negeri Sembilan, Malaysia	2.523732	101.790612	.	.	Port Dickson	.	Negeri Sembilan, Malaysia	.	.
Tamiso, Negros Occidental, Negros, Philippines	9.630000	123.090000	.	.	Tamiso	.	Negros Occidental, Negros, Philippines	.	.
Negros Occidental, Negros, Philippines	10.322735	122.852512	.	.	Negros Occidental	.	Negros, Philippines	.	.
Dumbea, New Caledonia	-22.183632	166.420782	.	.	Dumbea	.	New Caledonia	.	.
Ouano Bay, New Caledonia	-21.842512	165.821843	.	.	Ouano Bay	.	New Caledonia	.	.
Oubatche, New Caledonia	-20.450032	164.691560	.	.	Oubatche	.	New Caledonia	.	.
Pointe de Pam, New Caledonia	-20.231871	164.302944	.	.	Pointe de Pam	.	New Caledonia	.	.
Andai, West Papua, New Guinea, Indonesia	-0.926751	134.041268	.	.	Andai	.	West Papua, New Guinea, Indonesia	.	.
Cenderawasih Bay, Papua, New Guinea, Indonesia	-2.500000	135.300000	.	.	Cenderawasih Bay	Geelvink	Papua, New Guinea, Indonesia	.	.
Merauke, Papua, New Guinea, Indonesia	-8.465394	140.360770	.	.	Merauke	.	Papua, New Guinea, Indonesia	.	.
Hampton, Rockingham County, New Hampshire, USA	42.924167	-70.820278	.	.	Hampton	.	Rockingham County, New Hampshire, USA	.	.
Beach Haven, Ocean County, New Jersey, USA	39.576031	-74.251791	.	.	Beach Haven	.	Ocean County, New Jersey, USA	.	.
Cape May Formation, Cape May County, New Jersey, USA	39.510000	-74.365278	.	.	Cape May Formation	.	Cape May County, New Jersey, USA	.	FOSSIL
Galloway, Atlantic County, New Jersey, USA	39.442863	-74.393827	.	.	Galloway	.	Atlantic County, New Jersey, USA	.	.
Great Bay, New Jersey, USA	39.510000	-74.365278	.	.	Great Bay (NJ)	.	New Jersey, USA	.	.
Tuckerton, Ocean County, New Jersey, USA	39.595810	-74.317966	.	.	Tuckerton	.	Ocean County, New Jersey, USA	.	.
Nassau, New Providence, The Bahamas	25.046275	-77.416791	.	.	Nassau	.	New Providence, The Bahamas	.	.
Evans Head, New South Wales, Australia	-29.450000	153.450000	.	coords from paper	Evans Head	.	New South Wales, Australia	.	.
Port Stephens, New South Wales, Australia	-32.699167	152.123889	.	.	Port Stephens	.	New South Wales, Australia	.	.
Sydney, New South Wales, Australia	-33.865000	151.209444	.	.	Sydney	.	New South Wales, Australia	.	.
Trial Bay, New South Wales, Australia	-30.880495	153.049909	.	Between Port Macquarie and Coffs Harbour	Trial Bay	.	New South Wales, Australia	.	.
East Hampton, Suffolk County, New York, USA	40.956944	-72.198889	.	.	East Hampton	.	Suffolk County, New York, USA	.	.
Hudson River, New York, USA	41.135652	-73.890017	.	.	Hudson River	.	New York, USA	.	.
Long Island, New York, USA	40.800000	-73.300000	.	.	Long Island	.	New York, USA	.	.
New York City, New York, USA	40.712778	-74.005833	.	.	New York City	.	New York, USA	.	.
Otago, New Zealand	-45.883333	170.500000	Filhol (1885) described a new species of fiddler crab from Otago, New Zeland, but there is no subsequent evidence of fiddler crabs there. More than likely, this specimens (which has been subsequently lost) was collected elsewhere or were stray individuals that washed up on New Zeland during storms without representing an established population.	.	Otago	.	New Zealand	.	.
Wellington, New Zealand	-41.288889	174.777222	Kirk (1880) described a new species of fiddler crab from Wellington, New Zeland, but there is no subsequent evidence of fiddler crabs there. More than likely, this specimens (which has been subsequently lost) was collected elsewhere or were stray individuals that washed up on New Zeland during storms without representing an established population.	.	Wellington	.	New Zealand	.	.
Pine Island Creek, Newbury, Essex County, Massachusetts, USA	42.776111	-70.828333	.	coords from paper	Pine Island Creek	.	Newbury, Essex County, Massachusetts, USA	.	.
Newport Bay, Newport Beach, Orange County, California, USA	33.618663	-117.903852	.	.	Newport Bay	.	Newport Beach, Orange County, California, USA	.	.
Be River, Nha Trang, Khánh Hòa Province, Vietnam	12.200550	109.181650	.	.	Be River	.	Nha Trang, Khánh Hòa Province, Vietnam	.	.
Atlantic coast of Nicaragua	13.407061	-83.562150	.	.	Atlantic coast of Nicaragua	.	Nicaragua	Atlantic coast of Central America	.
Corinto, Nicaragua	12.483333	-87.183333	.	.	Corinto	.	Pacific coast of Nicaragua	.	.
