name	variations	primary synonym	original binomial	priority source	meaning	notes
platydactyla	platydactyla;platydactylus	major	Gelasimus platydactylus	MilneEdwards1837.2	Latin for &ldquo;flat-fingered.&rdquo;	This name has been used multiple times. The first was by H. Milne Edwards (1837). <em class="species">Gelasimus platydactylus</em> H. Milne Edwards, 1837, is a junior synonym of <em class="species">Uca major</em> (Herbst, 1782).</p><p>It was later used by Monod (1927) as a variant of <em class="species">Uca tangeri;</em> when he realized <em class="species">platydactylus</em> was already occupied by the earlier use, he renamed his variant <em class="species">matandensis.</em>
poeyi	poeyi	?	Gelasimus poeyi	GuerinMeneville_nd	.	This name, which derives from a museum label, only appears in print (Kingsley, 1880) as a synonym of <em class="species">Uca stenodactylus</em> (H. Milne Edwards &amp; Lucas, 1843). Kingsley mixed a bunch of species together under the name <em class="species">stenodactylus</em> and as the specimen is no longer extant, it's actual meaning is unknown.
polita	polita	polita	Uca (Australuca) polita	Crane1975	from the Latin verb <em>polire</em> meaning &ldquo;to polish&rdquo;, a reference to the smooth surface of the outer manus of the major cheliped.	.
porcellanus	porcellanus	annulipes	Gelasimus porcellanus	Adams1848	Named for the porcellain color.	<em class="species">Gelasimus prcellanus</em> Adams & White, 1848, is a junior synonym of <em class="species">Uca annulipes</em> (H. Milne Edwards, 1837)
porrector	porrector	?	Gonoplax porrector	Lamarck_nd	.	This name, which derives from a museum label, only appears in print (Lamarck, 1818) as a synonym of <em class="species">Uca maracoani</em> (Latreille, 1802). Because of so much uncertainy among species designations at that time, the exact species cannot be determined.
princeps	princeps	princeps	Gelasimus princeps	Smith1870.2	.	.
pugilator	pugilator;pugillator;pugilatus;pigilator;puqilato	pugilator	Ocypoda pugilator	Bosc1802	The name derives from the Latin word for &ldquo;boxing&rdquo; (fighting)	.
pugnax	pugnax;pugnas	pugnax	Gelasimus pugnax	Smith1870.2	The name derives from the Latin word for &ldquo;quarrelsome&rdquo;	.
pulchella	pulchella;pulchellus	crassipes	Gelasimus pulchellus	Stimpson1858	.	<em class="species">Gelasimus pulchellus</em> Stimpson, 1858, is a junior synonym of <em class="species">Uca crassipes</em> (Adams &amp; White, 1848)
pusilla	pusilla	pugnax	Ocypoda pusilla	Rafinesque1817	Latin for &ldquo;small&rdquo; or &ldquo;tiny&rdquo;	An obscure and essentially never-used name for what we now call <em class="species">Uca pugnax</em>, this name would have priority if it had not been specifically suppressed by the ICZN (Opinion 522, 1959).
pygmaea	pygmaea	pygmaea	Uca pygmaea	Crane1941	The name comes from the crab's small size.	.
rapax	rapax	rapax	Gelasimus rapax	Smith1870.2	.	.
rathbunae	rathbunae;rathbunæ;rathbuni	coarctata	Uca rathbunæ	Pearse1912.1	Named after American crustaceologist Mary Jane Rathbun.	<em class="species">Uca rathbunæ</em> Pearse, 1912, is a junior synonym of <em class="species">Uca coarctata</em> (H. Milne Edwards, 1852)
rectilata	rectilata;rectilatus;reticulata	?	Gelasimus rectilatus	Lockington1877.2	Named for the much more rectangular carapace shape than other species.	Type specimens were destroyed in a fire and the descriptions and figures are inadequate to clearly place with a specific species. The name has been discarded.
rhizophorae	rhizophorae;rizophorae	rhizophorae	Uca rhizophorae	Tweedie1950.1	Named after the mangrove trees where it was first found.	.
robustus	robustus	?	Gelasimus robustus	White1847.1	.	A <em>nomen nodum.</em> The name only appears in a published list from a museum collection with no description; specimen can no longer be found, so identity cannot be determined.
rosea	roseus,rosea	rosea	Gelasimus roseus	Tweedie1937	Named for the rose color of the carapace and major chela.	.
rubripes	rubripes	?	Gelasimus rubripes	Jacquinot1846	.	Potential type specimens match multiple species, but not published figures of the type. Collection location is also highly suspect. This name has been discarded as it is impossible to know to what it refers.
salsisitus	salsisitus	rapax	Uca salsisitus	Oliveira1939.1	salty?	<em class="species">Uca salsisitus</em> Oliveira, 1939, is a junior synonym of <em class="species">Uca rapax</em> (Smith, 1870).
saltitanta	saltitanta	saltitanta	Uca saltitanta	Crane1941	Named for its tireless energy when it displays.	.
schmitti	schmitti	ecuadoriensis	Uca schmitti	Crane1943.1	Named after Waldo L. Schmitt, curator of the Division of Marine Invertebrates at the US National Museum.	<em class="species">Uca schmitti</em> Crane, 1943, is a junior synonym of <em class="species">Uca ecuadoriensis</em> Maccagno, 1928. Barnwell (1988) reported evidence that this may be an independent species; further investigation is warranted.
seismella	seismella	seismella	Uca (Australuca) seismella	Crane1975	Named from the Greek noun for &ldquo;earthquake&rdquo; for the way its whole body shakes during its waving display.	.
signata	signatus;signata	signata	Gelasimus signatus	Hess1865	.	.
sindensis	sindensis	sindensis	Gelasimus inversus, var. sindensis	Alcock1900	Named after the Indus River.	.
smithii	smithii	inversa	Gelasimus smithii	Kingsley1880	Named after American zoologist Sidney Irving Smith.	<em class="species">Gelasimus smithii</em> Kingsley, 1880, is a junior synonym of <em class="species">Uca inversa</em> (Hoffmann, 1874)
speciosa	speciosa;speciosus	speciosa	Gelasimus speciosus	Ives1891	.	The first use of the specific name <em class="species">speciosus</em> with reference to a fiddler crab appears to be <em class="species">Gonoplax speciosus</em> from an unpublished manuscript residing in the library of the National Museum of Natural History in Paris by Christophe-Paulin de La Poix de Fréminville, referring specifically to a &ldquo;new&rdquo; species from Senegal. Because the manuscript was never published, the use of this name does not gain priority. The species referenced by Fréminville is today known as <em class="species">Uca tangeri</em> (Eydoux 1835).</p><p>The same specific name was later used by Ives to describe a new American species, <em class="species">Gelasimus speciosus.</em> Because the earlier use is a <em>nomen nudum</em>, this second use retains priority and is the proper name for the species <em class="species">Uca speciosa</em> (Ives 1891).
spinata	spinata	paradussumieri	Uca (Deltuca) dussumieri spinata	Crane1975	Named in reference to the spinous projection on the gonopod.	<em class="species">Uca dussumieri spinata</em> Crane, 1975, is a junior synonym of <em class="species">Uca paradussumieri</em> (Bott, 1973).
spinicarpa	spinicarpa	spinicarpa	Gelasimus tetragonon var. spinicarpa	Rathbun1900.2	Named after the spine/tooth on the major wrist (carpus).	This specific name was originally published as <em class="species">Gelasimus tetragonon</em> var. <em class="species">spinicarpa</em> Kossmann, 1877. This application was functionally lost and the name was reused by Rathbun when she described <em class="species">Uca spinicarpa</em> Rathbun, 1900. Although normally Kossmann's name would be a senior homonym with priority, because his usage was completely ignored for over a century while Rathbun's application was widely used, the Code of the ICZN required that priority be reversed, making Kossmann's name a <em>nomen oblitum</em> and Rathbun's a <em>nomen protectum</em> (Rosenberg 2013). The species referred to by Kossmann is likely the one now known as <em class="species">Uca hesperiae</em> Crane, 1975.
splendida	splendida;splendidus	splendida	Gelasimus splendidus	Stimpson1858	.	.
stenodactylus	stenodactyla;stenodactylus	stenodactylus	Gelasimus stenodactylus	MilneEdwards1843	Latin for &ldquo;narrow-fingered.&rdquo;	.
stylifera	stylifera;styliferus	stylifera	Gelasimus styliferus	MilneEdwards1852	Named for the large style always found on the eystalk on the major cheliped side of males.	.
subcylindrica	subcylindrica;sub-cylindricus;subcylindricus;sub-cylindrica	subcylindrica	Gelasimus subcylindricus	Stimpson1859	Named for the covex shape of the carapace.	.
tallanica	tallanica	tallanica	Uca tallanica	vonHagen1968.2	Named after the Tallán, the first people to settle in northwestern Peru.	.
tangeri	tangeri;tangieri;tangerii;tangari	tangeri	Gelasimus Tangeri	Eydoux1835	Named for the city of Tangier, Morocco, where it was first found.	.
telescopicus	telescopicus	>Macrophthalmus telescopicus	Gelasimus telescopicus	Owen1839	Named for the extremely long eye-stalks	This species is not a fiddler crab.
tenuimanus	tenuimanus	?	Gelasimus tenuimanus	White1847.1	.	A <em>nomen nodum.</em> The name only appears in a published list from a museum collection with no description; specimen can no longer be found, so identity cannot be determined.
tenuipedis	tenuipedis	tenuipedis	Uca tenuipedis	Crane1941	Named for its slender-legs.	.
terpsichores	terpsichores	terpsichores	Uca terpsichores	Crane1941	Named after the Greek Muse of dance.	.
tetragonon	tetragonon;tetragona;tetragonum;tetragonus;tetragnon	tetragonon	Cancer tetragonon	Herbst1790	.	.
thayeri	thayeri	thayeri	Uca thayeri	Rathbun1900.3	Named after the &ldquo;Thayer Expedition&rdquo; which is when the type specimen was collected.	.
thomsoni	thomsoni;thompsoni	coarctata	Gelasimus thomsoni	Kirk1880	.	<em class="species">Gelasimus thomsoni</em> Kirk, 1880, is a junior synonym of <em class="species">Uca coarctata</em> (H. Milne Edwards, 1852).
tomentosa	tomentosa	tomentosa	Uca tomentosa	Crane1941	Named for the distinctive pile (hair) on its carapace.	.
triangularis	triangularis	triangularis	Gelasimus triangularis	MilneEdwards1873	.	.
typhoni	typhoni	typhoni	Uca (Deltuca) demani typhoni	Crane1975	Named for the area where it is found which is subject to frequent typhoons.	.
uca	uca;uka;uça	>Ucides cordatus	Cancer uca	Linnaeus1766	.	Not a fiddler crab when used as a specific name.
umbratila	umbratila	umbratila	Uca umbratila	Crane1941	Named because the species was found in deep shade.	.
una	una	major	Uca Una	Leach1814	.	<em class="species">Uca Una</em> Leach, 1814, is a junior synonym of <em class="species">Uca major</em> (Herbst, 1782).
uruguayensis	uruguayensis	uruguayensis	Uca uruguayensis	Nobili1901.2	Named after country of Uruguay, where it was first found.	.
urvillei	urvillei	urvillei	Gelasimus Urvillei	MilneEdwards1852	Named after Jules Dumont d'Urville, a French explorer and naval officer.	.
variabilis	variabilis	triangularis	Gelasimus triangularis var. variabilis	deMan1891	.	<em class="species">Gelasimus triangularis</em> var. <em class="species">variabilis</em> De Man, 1891, is a junior synonym of <em class="species">Uca triangularis</em> (A. Milne-Edwards, 1873).
variatus	variatus	tetragonon	Gelasimus variatus	Hess1865	.	<em class="species">Gelasimus variatus</em> Hess, 1865, is a junior synonym of <em class="species">Uca tetragonon</em> (Herbst, 1790).
variegatus	variegatus;variegata	?	Gelasimus variegatus	Heller1862.1	.	This name has been used at least twice, in different contexts. H. Milne Edwards (1837) refers to a museum label, <em class="species">Gelasimus variegata,</em> from Latreille which he synonymizes with <em class="species">Uca tetragonon</em> (Herbst, 1790). Later, Heller (1862) uses <em class="species">Gelasimus variegatus</em> for a species supposedly found in eastern India. Heller's type does not appear to be extant, but Crane (1975) belives it is likely <em class="species">Uca inversa</em> (Hoffmann, 1874), despite the fact that the collection location is well outside the known range of <em class="species">U. inversa.</em></p><p>Heller's name would have priority over that of Hoffmann (assuming Crane is correct about the species identities).The unpublished museum label mentioned by H. Milne Edwards in 1837 would be a <em>nomen nudum</em> and would not have priority.
victoriana	victoriana	victoriana	Uca victoriana	vonHagen1987.1	Named after the location where it was found, Victoria, Brazil.	.
virens	virens	virens	Uca virens	Salmon1968.1	Named for a green band on the carapace	This species is controversial and may represent a mix of multiple species rather than a single distinct entity.
vocans	vocans;vocante;vocantis	vocans	Cancer vocans	Linnaeus1758	Latin for &ldquo;calling.&rdquo; This is the general source of the common name &ldquo;calling crabs&rdquo; for species in this genus.	The specific name <em class="species">vocans</em> has priority from Linnaeus (1758), although he adopted the name from Rumphius (1705).</p><p>As the original taxonomic name applied to fiddler crabs, <em class="species">vocans</em> was widely used for all species in the last 18th and early 19th centuries, leading to a lot of taxonomic confusion. In the late 19th and early 20th centuries, many authors suggested abandoning the name entirely due to its earlier ambiguity, but eventually its priority took hold.
vocator	vocator;vocatur	vocator	Cancer vocator	Herbst1804	.	.
vomeris	vomeris	vomeris	Uca marionis, var. vomeris	McNeill1920	.	.
zacae	zacae	zacae	Uca zacae	Crane1941	Named for Templeton Crocker's yacht <em>Zaca.</em>	.
zamboangana	zamboangana;zambocuga;zanboangana	demani	Uca zamboangana	Rathbun1913	Named for a city/province on Mindanao Island of the Philippines	<em class="species">Uca zamboangana</em> Rathbun, 1913, is a junior synonym of <em class="species">Uca demani</em> Ortmann, 1897.
zilchi	zilchi	umbratila	Uca (Minuca) thayeri zilchi	Bott1954	.	<em class="species">Uca (Minuca) thayeri zilchi</em> Botth, 1954, is a junior synonym of <em class="species">Uca umbratila</em> Crane, 1941.
