(1983)	anonymous1983	Chinese
Coohill & Fingerman (1975)	Coohill1975	English
Coohill & Fingerman (1976)	Coohill1976	English
Cooke & Sullivan (1982)	Cooke1982	English
Cooper-Boemmels et al. (2001)	CooperBoemmels2001	English
Coppinger et al. (2017)	Coppinger2017	English
Correia & Guimaraes (2016)	Correia2016	English
Cortes-Carrasco & del Socorro Garcia-Madrigal (2013)	CortesCarrasco2013	English
Cosenza et al. (2014)	Cosenza2014	English
Costa et al. (2001)	Costa2001.1	
Costa & Negreiros-Fransozo (2001)	Costa2001.2	
Costa & Negreiros-Fransozo (2002)	Costa2002	
Costa et al. (2006)	Costa2006	
Costa & Soares-Gomes (2009)	Costa2009	
Costa & Soares-Gomes (2011)	Costa2011	
Costa & Soares-Gomes (2015)	Costa2015	English
Costlow (1963)	Costlow1963	English
Costlow & Sandeen (1961)	Costlow1961	English
Couch (1838)	Couch1838	English
Coues (1871)	Coues1871	English
Coulon (1907)	Coulon1907	French
Coventry (1944)	Coventry1944	English
Coward et al. (1970)	Coward1970	English
Cowley & Chrzanowski (1979)	Cowley1979	English
Cowley & Chrzanowski (1980)	Cowley1980	
Cowley & Frye (1978)	Cowley1978	English
Cramp & Simmons (1982)	Cramp1982	English
Crane (1941)	Crane1941	English
Crane (1943)	Crane1943.2	English
Crane (1943)	Crane1943.3	English
Crane (1943)	Crane1943.1	English
Crane (1944)	Crane1944	English
Crane (1947)	Crane1947	English
Crane (1956)	Crane1956	
Crane (1957)	Crane1957	English
Crane (1958)	Crane1958	English
Crane (1966)	Crane1966.1	English
Crane (1966)	Crane1966.2	English
Crane (1967)	Crane1967	English
Crane (1975)	Crane1975	English
Crane et al. (2004)	Crane2004	English
Crawford et al. (1989)	Crawford1989	
Cremonte et al. (2007)	Cremonte2007	
Crichton (1960)	Crichton1960	
Crichton (1967)	Crichton1967	English
Cripe & Livingston (1977)	Cripe1977	English
Croker & Wilson (1965)	Croker1965	English
Croll (2001)	Croll2001	English
Croll & Klinger (1994)	Croll1994	English
Croll & McClintock (1999)	Croll1999	English
Croll & McClintock (2000)	Croll2000.2	English
Croll & McClintock (2000)	Croll2000.1	English
Croll & McClintock (2002)	Croll2002	
Cronin & Johnson (1958)	Cronin1958	English
Cronin & Forward (1982)	Cronin1982	English
Crosnier (1965)	Crosnier1965	French
Cruz-Rivera et al. (2017)	CruzRivera2017	English
Cuartas & Petriella (2007)	Cuartas2007	
Cuartas & Petriella (2010)	Cuartas2010	
Cuartas & Sousa (2007)	Cuartas2007.2	English [with Portuguese abstract/summary]
Cuellar-Gempeler & Munguia (2013)	CuellarGempeler2013	
Cuiffreda (1994)	Cuiffreda1994	English
Culbertson (2008)	Culbertson2008	English
Culbertson et al. (2007)	Culbertson2007	
Cumbee et al. (2008)	Cumbee2008	
Cummings et al. (2008)	Cummings2008	
Cunningham & Myers (1986)	Cunningham1986	
Cunningham & Myers (1987)	Cunningham1987	
Curran (2002)	Curran2002	English
Curran (2005)	Curran2005	English
Curran & Martin (2003)	Curran2003	
Currin et al. (1995)	Currin1995	
Dai & Yang (1991)	Dai1991	
Dai et al. (1986)	Dai1986	Chinese
Daiber (1977)	Daiber1977	
Dakin (1952)	Dakin1952	English
Daleo et al. (2003)	Daleo2003	
Dall (1971)	Dall1971	English
Dall & Moriarty (1983)	Dall1983	English
Dame & Vernberg (1973)	Dame1973	English
Dame & Vernberg (1978)	Dame1978	
Dana (1851)	Dana1851	Latin
Dana (1852)	Dana1852	English
Daniel (1988)	Daniel1981	English
Dansereau (1947)	Dansereau1947	French [with English abstract/summary]
Darbonne & Heagler (1998)	Darbonne1998	
Darby (1935)	Darby1935.1	English
Darby (1935)	Darby1935.2	English
Darley (1985)	Darley1985	English
Darley et al. (1981)	Darley1981	
Darnell (2012)	Darnell2012.1	
Darnell et al. (2012)	Darnell2012.2	English
Darnell et al. (2013)	Darnell2013	
Darnell & Munguia (2011)	Darnell2011	
Darnell et al. (2015)	Darnell2015	English
Darwin (1874)	Darwin1874	English
Das (2015)	Das2015	English
Das (2015)	Das2015.2	English
Das et al. (2016)	Das2016	English
Das & Durica (2013)	Das2013.1	English
Das et al. (2009)	Das2009	English
Das et al. (2010)	Das2010	English
Das et al. (2011)	Das2011	English
Das et al. (2014)	Das2014	English
Das et al. (2013)	Das2013.2	English
Das & Chakraborty (2004)	Das2004	
Davie (1985)	Davie1985	
Davie (2002)	Davie2002	English
Davis (1978)	Davis1978.2	English
Davis (1978)	Davis1978.1	English
Davis & Costlow (1974)	Davis1974	English
Davis & Hagadorn (1982)	Davis1982	English
Davis & Swanson (2013)	Davis2013	English
Davis (1987)	Davis1987	
Day (1969)	Day1969	English
Day (1974)	Day1974	English
Day & Morgans (1956)	Day1956	English
de Almeida & Coelho (2008)	deAlmeida2008	English [with Spanish abstract/summary]
de Almeida Ferias et al. (2014)	deAlmeidaFerias2014	
de Araujo et al. (1995)	deAraujo1995	
de Araujo Tavora & Da Silva (2002)	deAraujo2002	Portuguese [with English abstract/summary]
De (2009)	De2009	
De (2015)	De2015	English
De Geer (1778)	DeGeer1778	French
de Gibertt et al. (2013)	deGibertt2013	
de Haan (1833-1850)	deHaan1835	Latin
De Kay (1844)	DeKay1844	English
de la Cruz & Davidson (1983)	delaCruz1983	English
de la Iglesia et al. (1994)	delaIglesia1994	
de Lira & Calado (2013)	deLira2013	English
De Man (1879)	deMan1879	English
De Man (1880)	deMan1880	English
De Man (1887)	deMan1887.1	German
De Man (1887)	deMan1887.2	German
De Man (1887-1888)	deMan1888	English
De Man (1891)	deMan1891	English
De Man (1892)	deMan1892	German
De Man (1895)	deMan1895	German
De Man (1902)	deMan1902	German
De Man (1902)	deMan1902.2	Dutch
De Man (?)	deMan_nd	English
De Maris (2014)	DeMaris2014	English
de Melo Júnior et al. (2016)	deMeloJunior2016	English
de Miranda y Rivera (1933)	MirandayRivera1933.1	Spanish
de Miranda y Rivera (1933)	MirandayRivera1933.2	Spanish
de Noronha Campos et al. (2016)	deNoronhaCampos2016	English
De Santo (1992)	DeSanto1992	English
de Sousa et al. (2015)	deSousa2015	Portuguese [with English abstract/summary]
de Souza et al. (2013)	deSouza2013	
de Varona & Ortiz (2003)	deVarona2003	
de Vries & Forward (1988)	deVries1988	English
de Vries & Forward (1990)	deVries1990	English
de Vries & Forward (1991)	deVries1991.2	
de Vries & Forward (1991)	deVries1991.1	
de Vries et al. (1991)	deVries1991.3	
de Vries et al. (1994)	deVries1994	
de Vries & Wolcott (1991)	deVries1991.4	English
Dean & Vernberg (1963)	Dean1963	English
Dean & Vernberg (1965)	Dean1965	English
Dean & Vernberg (1966)	Dean1966	English
Deb & Balakrishnan (2014)	Deb2014	English
Deblock & Heard (1969)	Deblock1969	
Decker (2011)	Decker2011	English
Decker & Griffen (2012)	Decker2012	
DeCoursey (1976)	DeCoursey1976	English
DeCoursey (1979)	DeCoursey1979	
DeCoursey (1980)	DeCoursey1980	English
DeCoursey (1981)	DeCoursey1981	English
DeCoursey (1983)	DeCoursey1983	English
DeCoursey & Vernberg (1972)	DeCoursey1972	English
Deecaraman & Fingerman (1985)	Deecaraman1985	
Deecaraman & Milton (1992)	Deecaraman1992	
Deekae & Idoniboye Obu (1995)	Deekae1995	
Deis et al. (2017)	Deis2017	English
del Castillo et al. (2015)	delCastillo2015	English
Del Prato (1896)	DelPrato1896	Italian
Deli et al. (2017)	Deli2017	English
DelValls et al. (1999)	DelValls1999	
Dembowski (1925)	Dembowski1925	English
Dembowski (1926)	Dembowski1926	English
Démeusy (1957)	Demeusy1957	English
Demina & Lysenko (1996)	Demina1996	
Denger & Tankersley (2005)	Denger2005	English
Dennenmoser & Christy (2013)	Dennenmoser2013	English
DePatra & Levin (1989)	DePatra1989	
DePew & Towle (1979)	DePew1979	
deRivera (1999)	deRivera1999	English
deRivera (2000)	deRivera2000	English
deRivera (2003)	deRivera2003.2	
deRivera (2003)	deRivera2003.1	
deRivera (2005)	deRivera2005	
deRivera et al. (2003)	deRivera2003.3	
deRivera & Vehrencamp (2001)	deRivera2001	
Desanto et al. (1997)	Desanto1997	
Desmarest (1817)	Desmarest1817	French
Desmarest (1822)	Desmarest1822	French
Desmarest (1823)	Desmarest1823	French
Desmarest (1825)	Desmarest1825	French
Detto (2007)	Detto2007	
Detto & Backwell (2009)	Detto2009.1	
Detto & Backwell (2009)	Detto2009.2	
Detto et al. (2006)	Detto2006	
Detto et al. (2008)	Detto2008	
Detto et al. (2010)	Detto2010	
Detto et al. (2004)	Detto2004	
Devi et al. (1993)	Devi1993	
Devi (1987)	Devi1987	
Devi & Rao (1989)	Devi1989.2	
Devi & Rao (1989)	Devi1989.3	
Devi & Rao (1989)	Devi1989.1	
Dexter (1985)	Dexter1985	English
Dezi et al. (1987)	Dezi1987	Spanish [with English abstract/summary]
Dezi et al. (1993)	Dezi1993	
Di Benedetto & Masunari (2009)	DiBenedetoo2009	
di Virgilio & Ribeiro (2013)	diVirgilio2013	English
Díaz et al. (2004)	Diaz2004	
Díaz-Ferguson et al. (2010)	DiazFerguson2010	
Didion & Layne (2017)	Didion2017	English
Diele et al. (2010)	Diele2010	English
Diele et al. (2013)	Diele2013	English
Diesel (1991)	Diesel1991	English
Diesel et al. (2000)	Diesel2000	
Dietrich (1979)	Dietrich1979	English
Diez & Soto-Borrero (2016)	Diez2016	Spanish [with English abstract/summary]
Dingle (1983)	Dingle1983	
Diniz Filho (1990)	DinizFilho1990	
Dircksen et al. (1988)	Dircksen1988	
Dittel & Epifanio (1990)	Dittel1990	
Dittel et al. (1991)	Dittel1991	
Dittel et al. (2000)	Dittel2000	
Dittel R. & Epifanio (1982)	Dittel1982	
Dittmann (1996)	Dittmann1996	
Doflein (1899)	Doflein1899	German
Doflein (1904)	Doflein1904	German
Doflein (1914)	Doflein1914	German
Doherty (1978)	Doherty1978.1	English
Doherty (1978)	Doherty1978.2	English
Doherty (1982)	Doherty1982	
Domínguez Alonso (2008)	DominguezAlonso2008	Spanish [with English abstract/summary]
Donovan et al. (2014)	Donovan2014	English
D'Orazio & Holliday (1985)	DOrazio1985	
Dores (1979)	Dores1979	English
Dores & Herman (1980)	Dores1980	English
Dores & Herman (1981)	Dores1981	English
dos Santos et al. (2017)	dosSantos2017	English
Dowse & Palmer (1990)	Dowse1990	
Dowse & Palmer (1992)	Dowse1992	
Drake et al. (1998)	Drake1998	
Dreher et al. (2015)	Dreher2015	English
Drews & Graszynski (1983)	Drews1983	German
Drews & Graszynski (1987)	Drews1987	
Drews et al. (1982)	Drews1982	
Dubofsky-Porter et al. (2017)	DubofskyPorter2017	English
Dubois (1957)	Dubois1957	French
Dudley & Judy (1971)	Dudley1971	English
Dugaw et al. (2009)	Dugaw2009	
Dukes et al. (2004)	Dukes2004.1	
Dukes et al. (2004)	Dukes2004.2	
Dumortier (1963)	Dumortier1963.2	English
Dumortier (1963)	Dumortier1963	English
Duncker (1903)	Duncker1903	German
Dunham & Gilchrist (1988)	Dunham1988	
Dunlop & Barnwell (1990)	Dunlop1990	English
Dunn et al. (1990)	Dunn1990	
Duobinis-Gray & Hackney (1982)	DuobinisGray1982	
Dürbaum (1999)	Durbaum1999	German
Durica et al. (2000)	Durica2000	English
Durica et al. (1997)	Durica1997	English
Durica et al. (1999)	Durica1999.1	
Durica & Das (2016)	Durica2016	English
Durica et al. (2014)	Durica2014	English
Durica & Hopkins (1996)	Durica1996	
Durica & Hopkins (1999)	Durica1999.2	English
Durica et al. (1995)	Durica1995	English
Durica et al. (2009)	Durica2009	English
Durica et al. (2005)	Durica2005	English
Durica et al. (2006)	Durica2006	
Durica et al. (2003)	Durica2003	English
Durica et al. (2002)	Durica2002	
Durica et al. (2001)	Durica2001	English
Duval (1994)	Duval1994	English
Duval (1995)	Duval1995	English
Duval (1996)	Duval1996	English
Duval (1997)	Duval1997.1	English
Duval & Rittschof (1997)	Duval1997.2	English
Duvernoy (1850)	Duvernoy1850	French
Dye & Lasiak (1986)	Dye1986	
Dye & Lasiak (1987)	Dye1987	
Dyson (2008)	Dyson2008	
Dyson & Backwell (2016)	Dyson2016	English
Eastman-Reks (1984)	EastmanReks1984.1	English
Eastman-Reks & Fingerman (1984)	EastmanReks1984.2	
Eastman-Reks & Fingerman (1985)	EastmanReks1985	
Eberhardt (1966)	Eberhardt1966	English
Eckert & Zeil (2001)	Eckert2001	
Edmondson (1923)	Edmondson1923	English
Edmondson (1925)	Edmondson1925	English
Edmondson (1933)	Edmondson1933	English
Edmondson (1946)	Edmondson1946	English
Edmondson (1962)	Edmondson1962	English
Edney (1960)	Edney1960	English
Edney (1961)	Edney1961	English
Edney (1962)	Edney1962	English
Edney et al. (1968)	Edney1968	English
Edwards (1948)	Edwars1948	English
Edwards (1950)	Edwards1950	English
Eidietis & Coffman (2006)	Eidietis2006	English
Eisen (1967)	Eisen1967	English
Eisen et al. (1973)	Eisen1973	English
Eisen & Jeffrey (1969)	Eisen1969	English
El Haj (1999)	ElHaj1999	English
El Serehy et al. (1994)	ElSerehy1994	English
Elkaim (1976)	Elkaim1976	
Ellis (1980)	Ellis1980.2	English
Ellis & Claybrook (1979)	Ellis1979	English
Ellis & Claybrook (1980)	Ellis1980.1	English
Emmerson (1990)	Emmerson1990	
Emmerson (1994)	Emmerson1994	
Enami (1943)	Enami1943	English
Engel (1973)	Engel1973	English
Engel et al. (1971)	Engel1971	English
Engelmoer (1982)	Engelmoer1982	
Enright (1965)	Enright1965	English
Ens (1998)	Ens1998	
Ens et al. (1993)	Ens1993	
Epifanio (1988)	Epifanio1988.1	
Epifanio (1988)	Epifanio1988.2	English
Epifanio et al. (1988)	Epifanio1988.3	
Epifanio et al. (2013)	Epifanio2013	English
Erickson (1973)	Erickson1973	English
Eshky et al. (1995)	Eshky1995	
Eshky et al. (1996)	Eshky1996	
Essock-Burns et al. (2016)	EssockBurns2016	
Estampador (1937)	Estampador1937	English
Estampador (1959)	Estampador1959	English
Evans (1967)	Evans1967	English
Evans et al. (1976)	Evans1976	English
Everest & Davis (1979)	Everest1979	
Ewa-Oboho (1993)	EwaOboho1993	
Ewa-Oboho & Abby-Kalio (1994)	EwaOboho1994	
Ewing (1989)	Ewing1989	
Eydoux (1835)	Eydoux1835	French
Fabricius (1775)	Fabricius1775	Latin
Fabricius (1781)	Fabricius1781	Latin
Fabricius (1787)	Fabricius1787	Latin
Fabricius (1797)	Fabricius1797	Latin
Fabricius (1798)	Fabricius1798.1	Latin
Fabricius (1798)	Fabricius1798.2	Latin
Fabricius (1810)	Fabricius1810	Latin
Fan et al. (2014)	Fan2014	English
Fang et al. (2013)	Fang2013	
Fanjul et al. (2015)	Fanjul2015	English
Faria et al. (2017)	Faria2017.2	English
Faria et al. (2017)	Faria2017	English
Faria et al. (2014)	Faria2014	English
Farrington (2013)	Farrington2013	English
Farrow (1971)	Farrow1971	English
Faxon (1895)	Faxon1895	English
Fayed et al. (2008)	Fayed2008	English
Fazhan et al. (2017)	Fazhan2017	English
Feest (1969)	Feest1969	German [with English abstract/summary]
Felder (1973)	Felder1973	English
Felder et al. (2009)	Felder2009	English
Felder et al. (1985)	Felder1985	English
Felder & Staton (1994)	Felder1994	
Felgenhauer & Abele (1983)	Felgenhauer1983	English
Felgenhauer & Abele (1991)	Felgenhauer1991	English
Félix-Pico et al. (2003)	FelixPico2003	Spanish
Fell et al. (2003)	Fell2003	
Fell & Williams (1985)	Fell1985	English
Felterman & Zou (2011)	Felterman2011	
Fermins (1775)	Fermins1775	German
Ferraris (1988)	Ferraris1988	
Ferraris & Norenburg (1997)	Ferraris1997.1	
Ferraris & Norenburg (1997)	Ferraris1997.2	
Ferreira et al. (2007)	Ferreira2007	
Ferrigno (1966)	Ferrigno1966	English
Ferrigno (1970)	Ferrigno1970	English
Ferrigno et al. (1969)	Ferrigno1969	English
Fielder et al. (1971)	Fielder1971.2	English
Fielder et al. (1971)	Fielder1971.1	English
Figueiredo et al. (2008)	Figueiredo2008	
Filhol (1885)	Filhol1885.2	French
Filhol (1885)	Filhol1885	French
Fimpel (1975)	Fimpel1975	German [with English abstract/summary]
Fingerman (1955)	Fingerman1955	English
Fingerman (1956)	Fingerman1956.2	English
Fingerman (1956)	Fingerman1956.1	English
Fingerman (1957)	Fingerman1957.2	English
Fingerman (1957)	Fingerman1957	English
Fingerman (1959)	Fingerman1959	English
Fingerman (1960)	Fingerman1960	English
Fingerman (1965)	Fingerman1965	English
Fingerman (1965)	Fingerman1965.2	
Fingerman (1966)	Fingerman1966.1	English
Fingerman (1968)	Fingerman1968.1	
Fingerman (1970)	Fingerman1970.1	English
Fingerman (1970)	Fingerman1970.3	English
Fingerman (1973)	Fingerman1973.1	English
Fingerman (1985)	Fingerman1985.4	English
Fingerman (1988)	Fingerman1988.2	English
Fingerman (1988)	Fingerman1988	English
Fingerman (1997)	Fingerman1997	
Fingerman & Bartell (1969)	Fingerman1969.1	English
Fingerman & Bartell (1973)	Fingerman1973.2	English
Fingerman et al. (1971)	Fingerman1971.1	English
Fingerman & Couch (1967)	Fingerman1967.2	English
Fingerman et al. (1966)	Fingerman1966.3	English
Fingerman et al. (1966)	Fingerman1966.2	English
Fingerman & Fingerman (1971)	Fingerman1971.2	English
Fingerman & Fingerman (1972)	Fingerman1972	English
Fingerman & Fingerman (1974)	Fingerman1974.2	English
Fingerman & Fingerman (1974)	Fingerman1974.1	
Fingerman & Fingerman (1975)	Fingerman1975	English
Fingerman & Fingerman (1977)	Fingerman1977.1	English
Fingerman & Fingerman (1977)	Fingerman1977.2	English
Fingerman et al. (1974)	Fingerman1974.3	English
Fingerman et al. (1974)	Fingerman1974.4	
Fingerman & Fitzpatrick (1956)	Fingerman1956.3	English
Fingerman et al. (1981)	Fingerman1981.3	English
Fingerman et al. (1981)	Fingerman1981.1	
Fingerman et al. (1985)	Fingerman1985.1	
Fingerman et al. (1981)	Fingerman1981.2	English
Fingerman et al. (1985)	Fingerman1985.2	
Fingerman et al. (1983)	Fingerman1983	
Fingerman et al. (1998)	Fingerman1998	
Fingerman et al. (1974)	Fingerman1974.5	English
Fingerman et al. (1994)	Fingerman1994.3	English
Fingerman et al. (1958)	Fingerman1958	English
Fingerman et al. (1962)	Fingerman1962	English
Fingerman et al. (1963)	Fingerman1963	English
Fingerman et al. (1962)	Fingerman1962.2	English
Fingerman et al. (1964)	Fingerman1964.2	English
Fingerman et al. (1963)	Fingerman1963.2	English
Fingerman & Rao (1968)	Fingerman1968.2	English
Fingerman & Rao (1969)	Fingerman1969.2	English
Fingerman & Rao (1969)	Fingerman1969.3	English
Fingerman & Rao (1970)	Fingerman1970.2	English
Fingerman et al. (1967)	Fingerman1967.3	English
Fingerman et al. (1969)	Fingerman1969.4	English [with German abstract/summary]
Fingerman et al. (1994)	Fingerman1994.1	English
Fingerman et al. (1994)	Fingerman1994.2	English
Fingerman et al. (1978)	Fingerman1978.1	English
Fingerman & Yamamoto (1964)	Fingerman1964.1	English
Fingerman & Yamamoto (1967)	Fingerman1967.1	English [with German abstract/summary]
Fingerman (1985)	Fingerman1985.3	English
Fingerman & Fingerman (1976)	Fingerman1976	English
Fingerman & Fingerman (1977)	Fingerman1977.3	English
Fingerman & Fingerman (1977)	Fingerman1977.4	English
Fingerman & Fingerman (1978)	Fingerman1978.3	English
Fingerman & Fingerman (1978)	Fingerman1978.2	
Fingerman & Fingerman (1979)	Fingerman1979.2	
Fingerman & Fingerman (1979)	Fingerman1979.1	
Fingerman & Fingerman (1980)	Fingerman1980	
Fingerman et al. (1979)	Fingerman1979.3	
Finol & Croghan (1983)	Finol1983	
Fish (1925)	Fish1925	English
Fishelson (1971)	Fishelson1971	English
Fisher (1960)	Fisher1960	English
Fitzpatrick et al. (2016)	Fitzpatrick2016	English
Fleeger (1977)	Fleeger1978	English
Fleeger (1980)	Fleeger1980	English
Flores et al. (2013)	Flores2013	English
Florkin (1960)	Florkin1960.1	English
Florkin (1960)	Florkin1960.2	English
Fontaine & Barnwell (1988)	Fontaine1988	English
Forest & Guinot (1961)	Forest1961	French [with English abstract/summary]
Forest & Guinot (1962)	Forest1962	French
Formanowicz & Brodie (1988)	Formanowicz1988	English
Forsskål (1775)	Forsskal1775	Latin
Forward (1977)	Forward1977	English
Forward & Cronin (1979)	Forward1979	
Forward & Rittschof (1994)	Forward1994	
Forward et al. (2001)	Forward2001	
Forward et al. (2003)	Forward2003	
Fotheringham & Brunenmeister (1975)	Fotheringham1975	English
Fourmanoir (1953)	Fourmanoir1953	French
Fourmanoir (1956)	Fourmanoir1956	
Fowler (1911)	Fowler1911	English
Fowler (1912)	Fowler1912	English
France (1998)	France1998	
Frankenberg & Burbanck (1963)	Frankenberg1963	English
Fransen et al. (1997)	Fransen1997	English
Fraser (2006)	Fraser2006	
Fréminville (1822)	Freminville1822	French
Frey et al. (1973)	Frey1973	English
Frey & Howard (1969)	Frey1969	
Frey & Mayou (1970)	Frey1970	English
Frey & Mayou (1971)	Frey1971	
Friel & Wainwright (1998)	Friel1998	
Frith (1977)	Frith1977.1	English
Frith & Brunenmeister (1980)	Frith1980	
Frith & Brunenmeister (1983)	Frith1983	
Frith & Frith (1977)	Frith1977.2	English
Frith & Frith (1977)	Frith1977.3	English
Frith & Frith (1978)	Frith1978	
Frith et al. (1976)	Frith1976	English
Frix et al. (1991)	Frix1991	
Fujita & Naruse (2012)	Fujita2012	Japanese
Fujiwara & Kawai (2016)	Fujiwara2016	English
Fukui et al. (1989)	Fukui1989	
Full (1984)	Full1984.1	English
Full et al. (1982)	Full1982	English
Full & Herreid (1980)	Full1980	English
Full & Herreid (1984)	Full1984.2	
Full et al. (1985)	Full1985	English
Full & Weinstein (1992)	Full1992	English
Fusi et al. (2015)	Fusi2015	
Gäde (1979)	Gade1979	
Galat & Galat-Luong (1976)	Galat1976	
Gallagher (1995)	Gallagher1995	English
Gallagher et al. (1993)	Gallagher1993	
Gamble & Lovell (2011)	Gamble2011.1	
Gamble (2011)	Gamble2011.2	English
Garcia (2001)	Garcia2001	English
Gardner (1846)	Gardner1846	English
Gardner (1849)	Gardner1849	English
Gardner (1990)	Gardner1990	
Gardner et al. (1987)	Gardner1987	
Gardner et al. (1992)	Gardner1992	
Gardner et al. (1988)	Gardner1988	
Garth (1946)	Garth1946	English
Garth (1948)	Garth1948	English
Garth (1957)	Garth1957	English
Garth (1960)	Garth1960	English
Garth & Abbott (1980)	Garth1980	
Gaus et al. (1989)	Gaus1989	English
Gee (1925)	Gee1925	English
Genofre (1975)	Genofre1975	
Genoni (1985)	Genoni1985	
Genoni (1987)	Genoni1987	English
Genoni (1991)	Genoni1991	
George et al. (1957)	George1957	English
George & Swanson (2010)	George2010.1	English
George & Jones (1982)	George1982	English
George et al. (2001)	George2001	
George et al. (2010)	George2010.2	
Geraert (2013)	Geraert2013	English
Gerald et al. (2005)	Gerald2005	English
Gerald & Thiesen (2014)	Gerald2014	English
Gerlach (1958)	Gerlach1958.1	German [with English abstract/summary]
Gerlach (1958)	Gerlach1958.2	German
Gerstaecker (1856)	Gerstaecker1856	German
Gerstaecker & Ortmann (1901)	Gerstaeker1901	German
Ghent & Zucker (1990)	Ghent1990	
Gherardi et al. (2012)	Gherardi2012	
Ghidalia (1985)	Ghidalia1985	English
Ghory & Siddiqui (2006)	Ghory2006	English
Giarrizzo et al. (2010)	Giarrizzo2010	
Giarrizzo et al. (2011)	Giarrizzo2011	
Gibbes (1850)	Gibbes1850	English
Gibbs (1974)	Gibbs1974	English [with German abstract/summary]
Gibbs (1978)	Gibbs1978	English
Gibbs & Bryan (1972)	Gibbs1972	English
Giblin (1982)	Giblin1982	English
Giblin et al. (1980)	Giblin1980	
Giblin et al. (1983)	Giblin1983	
Giblock & Crain (2013)	Giblock2013	English
Gibson & Langen (1996)	Gibson1996	English
Gilchrist (1988)	Gilchrist1988	English
Gill (1858)	Gill1858	English
Gilles & Péqueux (1983)	Gilles1983	English
Girish et al. (2015)	Girish2015	
Girish et al. (2017)	Girish2017	English
Gittman & Keller (2013)	Gittman2013	English
Glassell (1934)	Glassell1934	English
Glazier (2013)	Glazier2013	English
Gleeson et al. (2013)	Gleeson2013	English
Gleeson et al. (1992)	Gleeson1992	English
Gmitter & Wotton (1953)	Gmitter1953	English
Goldsmith (1972)	Goldsmith1972	English
Goldsmith & Fernandez (1966)	Goldsmith1966	English
Goldstein & Watkins (1999)	Goldstein1999	English
Gong et al. (2016)	Gong2016	English
Gong et al. (2015)	Gong2015.1	English
Gong et al. (2015)	Gong2015.2	English
González-Gordillo et al. (2003)	GonzalezGordillo2003.1	
González-Gordillo & Rodríguez (2003)	GonzalezGordillo2003.2	
Gonzalez-Ortiz et al. (2014)	GonzalezOrtiz2014	English
Good et al. (1982)	Good1982	English
Gordon (1955)	Gordon1955	English
Gordon (1958)	Gordon1958	English
Gordon (1931)	Gordon1931	English
Gordon (1934)	Gordon1934	English
Gore (1985)	Gore1985	English
Goshima et al. (1996)	Goshima1996	
Goshima & Murai (1988)	Goshima1988	
Gosner (1978)	Gosner1978	English
Gosse (1851)	Gosse1851	English
Gould (1841)	Gould1841	English
Govender et al. (2012)	Govender2012	
Goverment of Japan (2010)	Japan2010	English
Govind (1985)	Govind1985.1	
Govind & Atwood (1982)	Govind1982	English
Govind & Pearce (1985)	Govind1985.2	
Govind et al. (1986)	Govind1986	
Goy (1976)	Goy1976	English
Graham et al. (1998)	Graham1998	
Graham (1955)	Graham1955	English
Grahame (1983)	Grahame1983	English
Grant & McCulloch (1906)	Grant1906	English
Grant & Eisen (1980)	Grant1980.1	
Grant et al. (1981)	Grant1981	English
Grant et al. (1977)	Grant1977	
Grant et al. (1980)	Grant1980.2	
Grant et al. (1983)	Grant1983	
Grant (1992)	Grant1992	English
Graszynski & Bigalke (1986)	Graszynski1986	English [with German abstract/summary]
Graszynski & Drews (1981)	Graszynski1981.1	German
Graszynski & Rohloff (1983)	Graszynski1983	German
Graszynski et al. (1979)	Graszynski1979	German
Graszynski et al. (1981)	Graszynski1981.2	English
Gravely (1927)	Gravely1927	English
Gravier (1920)	Gravier1920	French
Gray (1942)	Gray1942	English
Gray (1957)	Gray1957	English
Grebel (1995)	Grebel1995	English
Grebel & Weis (1990)	Grebel1990	English
Green (1980)	Green1980	English
Green (1961)	Green1961	English
Green (1962)	Green1962	English
Green (1963)	Green1963	English
Green (1964)	Green1964	English
Green (1967)	Green1967	English
Green (1969)	Green1969.1	English
Green (1970)	Green1970.2	English
Green (1970)	Green1970.1	English
Green (1973)	Green1973	
Green & Neff (1969)	Green1969.2	English
Green & Neff (1972)	Green1972	English
Green & Schochet (1972)	Green1972.2	English
Green & Schochet (1990)	Green1990	
Green & Schochet (1991)	Green1991	English
Green et al. (1959)	Green1959	English
Greenaway (1988)	Greenaway1988	English
Greenberg et al. (1983)	Greenberg1983	English
Greenberg et al. (1985)	Greenberg1985	
Greenfield (2005)	Greenfield2005	English
Greenfield et al. (2016)	Greenfield2016	English
Greenspan (1975)	Greenspan1975	English
Greenspan (1980)	Greenspan1980	
Greenspan (1982)	Greenspan1982	
Gregg & O'Connor (1996)	Gregg1996	
Gribsholt et al. (2003)	Gribsholt2003	
Griffin et al. (2015)	Griffin2015	English [with German abstract/summary]
Grimes (1976)	Grimes1976	English
Grimes et al. (1989)	Grimes1989	English
Grissell (1981)	Grissell1981	
Gronovius (1764)	Gronovius1764	Latin
Gross (1955)	Gross1955	English
Gross (1957)	Gross1957.1	English
Gross (1961)	Gross1961	English
Gross (1964)	Gross1964	English
Grubich (1999)	Grubich1999	English
Grunbaum (2014)	Grunbaum2014	English
Guchardi & Govind (1990)	Guchardi1990	English [with French abstract/summary]
Gudmundsdóttir (2002)	Gudmundsdottir2002	English
Guérin-Méneville (1829)	GuerinMeneville1829.1	French
Guérin-Méneville (1829-1845)	GuerinMeneville1829.2	French
