Reference	#	Scientific Name	Common Name	Where	Type	Applies to	#	Actual	Source of Actual	Species Notes	General Notes	
Kingsley1880	28.18	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	Singapore	.	annulipes	<	.	.	
Kingsley1880	28.19	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	Tanzania	.	occidentalis	>MSR:geography	.	.	
Kingsley1880	28.2	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	Sri Lanka	.	annulipes	<	.	.	
Kingsley1880	28.21	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	Nicobar Islands	.	annulipes	<	.	.	
Kingsley1880	28.22	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	Mozambique	.	occidentalis	>MSR:geography	.	.	
Kingsley1880	28.23	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	"Puducherry, India"	.	annulipes	<	.	.	
Kingsley1880	28.24	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	"Valparaíso, Chile"	.	?	.	.	.	
Kingsley1880	28.25	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	"Vancouver Island, British Columbia, Canada"	.	?	.	.	.	
Kingsley1880	28.26	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	"Baja California, Mexico"	.	?	.	.	.	
Kingsley1880	28.27	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	Tahiti	.	.	.	.	.	
Kingsley1880	28.28	Gelasimus annulipes	.	text p. 148-150; plate 10: figure 22	location	Red Sea	.	.	.	.	.	
Kingsley1880	29.1	Gelasimus lacteus	.	text p. 149; plate 10: figure 28	citation	deHaan1835	7	=	=	.	.	
Kingsley1880	29.2	Gelasimus lacteus	.	text p. 149; plate 10: figure 28	citation	MilneEdwards1854.2	18	=	=	.	.	
Kingsley1880	29.3	Gelasimus lacteus	.	text p. 149; plate 10: figure 28	citation	Stimpson1858	11	=	=	.	.	
Kingsley1880	29.4	Gelasimus lacteus	.	text p. 149; plate 10: figure 28	citation	Miers1879.1	1	=	=	.	.	
Kingsley1880	29.5	Gelasimus lacteus	.	text p. 149; plate 10: figure 28	location	Japan	.	lactea	<	.	.	
Kingsley1880	29.6	Gelasimus lacteus	.	text p. 149; plate 10: figure 28	location	"Puducherry, India"	.	annulipes	>MSR:geography	.	.	
Kingsley1880	29.7	Gelasimus lacteus	.	text p. 149; plate 10: figure 28	location	China	.	lactea	<	.	.	
Kingsley1880	30.1	Gelasimus splendidus	.	text p. 149-150	citation	Stimpson1858	7	=	=	.	.	
Kingsley1880	30.2	Gelasimus splendidus	.	text p. 149-150	location	"Hong Kong, China"	.	splendida	<	.	.	
Kingsley1880	31.1	Gelasimus minor	.	text p. 150	citation	Owen1839	2	=	=	.	.	
Kingsley1880	31.2	Gelasimus minor	.	text p. 150	location	"Oahu, Hawaii, USA"	.	.	.	.	.	
Kingsley1880	31.3	Gelasimus minor	.	text p. 150	location	"Hawaii, USA"	.	.	.	.	.	
Kingsley1880	32.1	Gelasimus triangularis	.	text p. 150	citation	MilneEdwards1873	8	=	=	.	.	
Kingsley1880	32.2	Gelasimus triangularis	.	text p. 150	location	New Caledonia	.	triangularis	<	.	.	
Kingsley1880	33.1	Gelasimus gaimardi	.	text p. 150	citation	MilneEdwards1852	19	=	=	.	.	
Kingsley1880	33.2	Gelasimus gaimardi	.	text p. 150	citation	Heller1865	5	=	=	.	.	
Kingsley1880	33.3	Gelasimus gaimardi	.	text p. 150	location	Tonga	.	crassipes	Crane1975	.	.	
Kingsley1880	33.4	Gelasimus gaimardi	.	text p. 150	location	Tahiti	.	crassipes	Crane1975	.	.	
Kingsley1880	34	Gelasimus platydactylus	.	text p. 140	n/a	.	.	.	.	.	.	
Kingsley1880	35.1	Gelasimus panamensis	.	text p. 150; plate 10: figure 24	citation	Stimpson1859	4	=	=	.	.	
Kingsley1880	35.2	Gelasimus panamensis	.	text p. 150; plate 10: figure 24	citation	Smith1870.2	21.1	=	=	.	.	
Kingsley1880	35.3	Gelasimus panamensis	.	text p. 150; plate 10: figure 24	location	"Gulf of Fonseca, El Salvador"	.	panamensis	<	.	.	
Kingsley1880	36.01	Gelasimus pugilator	.	text p. 150-151	citation	Bosc1802	2.1	=	=	.	.	
Kingsley1880	36.02	Gelasimus pugilator	.	text p. 150-151	citation	Bosc1830	2	=	=	.	.	
Kingsley1880	36.03	Gelasimus pugilator	.	text p. 150-151	citation	Latreille1802	3	=	=	.	.	
Kingsley1880	36.04	Gelasimus pugilator	.	text p. 150-151	citation	Say1817	1	=	=	.	.	
Kingsley1880	36.05	Gelasimus pugilator	.	text p. 150-151	citation	Latreille1817.2	2	=	=	.	.	
Kingsley1880	36.06	Gelasimus pugilator	.	text p. 150-151	citation	Desmarest1825	2	=	=	.	.	
Kingsley1880	36.07	Gelasimus pugilator	.	text p. 150-151	citation	MilneEdwards1852	14	=	=	.	.	
Kingsley1880	36.08	Gelasimus pugilator	.	text p. 150-151	citation	Stimpson1859	2	=	=	.	.	
Kingsley1880	36.09	Gelasimus pugilator	.	text p. 150-151	citation	Smith1870.2	17	=	=	.	.	
Kingsley1880	36.1	Gelasimus pugilator	.	text p. 150-151	citation	Verrill1873	1	=	=	.	.	
Kingsley1880	36.11	Gelasimus pugilator	.	text p. 150-151	citation	Gould1841	1.02	=	=	.	.	
Kingsley1880	36.12	Gelasimus pugilator	.	text p. 150-151	citation	DeKay1844	1.7	=	=	.	.	
Kingsley1880	36.13	Gelasimus pugilator	.	text p. 150-151	location	Atlantic coast of United States	.	pugilator	<	.	.	
Kingsley1880	37.01	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	MilneEdwards1837.2	9	=	=	.	.	
Kingsley1880	37.02	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	MilneEdwards1837.2	7	=	=	.	.	
Kingsley1880	37.03	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	MilneEdwards1852	21	=	=	.	.	
Kingsley1880	37.04	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	MilneEdwards1854.2	20	=	=	.	.	
Kingsley1880	37.05	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	MacLeay1838	1	=	=	.	.	
Kingsley1880	37.06	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	White1847.1	6	=	=	.	.	
Kingsley1880	37.07	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	GuerinMeneville1829.2	1	=	=	.	.	
Kingsley1880	37.08	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	Hilgendorf1869	6	=	=	.	.	
Kingsley1880	37.09	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	Hilgendorf1878	2	=	=	.	.	
Kingsley1880	37.1	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	Heller1865	6	=	=	.	.	
Kingsley1880	37.11	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	citation	MilneEdwards1873	6	=	=	.	.	
Kingsley1880	37.12	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	"Buru, Indonesia"	.	crassipes	Crane1975	.	.	
Kingsley1880	37.13	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	Tanzania	.	chlorophthalmus	<	.	.	
Kingsley1880	37.14	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	Mozambique	.	chlorophthalmus	<	.	.	
Kingsley1880	37.15	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	Mascarene Islands	.	chlorophthalmus	<	.	.	
Kingsley1880	37.16	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	"Java, Indonesia"	.	crassipes	Crane1975	.	.	
Kingsley1880	37.17	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	Sri Lanka	.	.	.	.	.	
Kingsley1880	37.18	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	"Chennai, India"	.	.	.	.	.	
Kingsley1880	37.19	Gelasimus chlorophthalmus	.	text p. 151-152; plate 10: figures 26-27	location	New Caledonia	.	crassipes	Crane1975	.	.	
Kingsley1880	38.1	Gelasimus subcylindricus	.	text p. 152; plate 10: figure 29	citation	Stimpson1859	3	=	=	.	.	
Kingsley1880	38.2	Gelasimus subcylindricus	.	text p. 152; plate 10: figure 29	citation	Smith1870.2	19	=	=	.	.	
Kingsley1880	38.3	Gelasimus subcylindricus	.	text p. 152; plate 10: figure 29	location	"Matamoros, Tamaulipas, Mexico"	.	subcylindrica	<	.	.	
Kingsley1880	39.1	Gelasimus latreillei	.	text p. 152; plate 10: figure 31	citation	MilneEdwards1852	22	=	=	.	.	
Kingsley1880	39.2	Gelasimus latreillei	.	text p. 152; plate 10: figure 31	citation	MilneEdwards1873	7	=	=	.	.	
Kingsley1880	39.3	Gelasimus latreillei	.	text p. 152; plate 10: figure 31	location	Philippines	.	crassipes	Crane1975	.	.	
Kingsley1880	39.4	Gelasimus latreillei	.	text p. 152; plate 10: figure 31	location	Bora Bora	.	crassipes	Crane1975	.	.	
Kingsley1880	39.5	Gelasimus latreillei	.	text p. 152; plate 10: figure 31	location	New Caledonia	.	crassipes	Crane1975	.	.	
Kingsley1880	40.1	Gelasimus tangieri	.	text p. 153-154; plate 10: figure 30	citation	Eydoux1835	1	=	=	.	.	
Kingsley1880	40.2	Gelasimus tangieri	.	text p. 153-154; plate 10: figure 30	citation	MilneEdwards1852	23	=	=	.	.	
Kingsley1880	40.3	Gelasimus tangieri	.	text p. 153-154; plate 10: figure 30	citation	Heller1863	2	=	=	.	.	
Kingsley1880	40.4	Gelasimus tangieri	.	text p. 153-154; plate 10: figure 30	location	West coast of Africa	.	tangeri	<	.	.	
Kingsley1880	41.1	Gelasimus perlatus	.	text p. 153-154; plate 10: figure 25	citation	Herklots1851	1	=	=	.	.	
Kingsley1880	41.2	Gelasimus perlatus	.	text p. 153-154; plate 10: figure 25	citation	MilneEdwards1852	30	=	=	.	.	
Kingsley1880	41.3	Gelasimus perlatus	.	text p. 153-154; plate 10: figure 25	citation	Hilgendorf1878	3	=	=	.	.	
Kingsley1880	41.4	Gelasimus perlatus	.	text p. 153-154; plate 10: figure 25	location	West coast of Africa	.	tangeri	Crane1975	.	.	
Kingsley1880	42.01	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	citation	MilneEdwards1843	1	=	=	.	.	
Kingsley1880	42.02	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	citation	Nicolet1849	1	=	=	.	.	
Kingsley1880	42.03	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	citation	MilneEdwards1852	16	=	=	.	.	
Kingsley1880	42.04	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	citation	Smith1870.2	22	=	=	.	.	
Kingsley1880	42.05	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	citation	GuerinMeneville_nd	2	=	=	.	.	
Kingsley1880	42.06	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	citation	GuerinMeneville_nd	3	=	=	.	.	
Kingsley1880	42.07	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	location	Pacific coast of Mexico	.	.	.	.	.	
Kingsley1880	42.08	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	location	Cuba	.	.	.	.	.	
Kingsley1880	42.09	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	location	Brazil	.	.	.	.	.	
Kingsley1880	42.1	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	location	"Gulf of Fonseca, El Salvador"	.	.	.	.	.	
Kingsley1880	42.11	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	location	"Gulf of California, Mexico"	.	.	.	.	.	
Kingsley1880	42.12	Gelasimus stenodactylus	.	"text p. 152, 154; plate 10: figure 33-34"	location	"Valparaíso, Chile"	.	.	.	.	.	
Kingsley1880	43	Gelasimus variegatus	.	text p. 154	citation	Heller1862.1	1	=	=	.	.	
Kingsley1880	44.1	Gelasimus variatus	.	text p. 154-155	citation	Hess1865	3	=	=	.	.	
Kingsley1880	44.2	Gelasimus variatus	.	text p. 154-155	location	"Sydney, New South Wales, Australia"	.	tetragonon	Crane1975	.	.	
Kingsley1880	45.1	Gelasimus porcellanus	.	text p. 155	citation	White1847.1	16	=	=	.	.	
Kingsley1880	45.2	Gelasimus porcellanus	.	text p. 155	citation	Adams1848	4	=	=	.	.	
Kingsley1880	45.3	Gelasimus porcellanus	.	text p. 155	citation	MilneEdwards1852	31	=	=	.	.	
Kingsley1880	45.4	Gelasimus porcellanus	.	text p. 155	location	Borneo	.	.	.	.	.	
Kingsley1880	46.1	Gelasimus inversus	.	text p. 155	citation	Hoffmann1874	7	=	=	.	.	
Kingsley1880	46.2	Gelasimus inversus	.	text p. 155	location	Madagascar	.	inversa	<	.	.	
Kingsley1880	47	Gelasimus	Fiddler Crabs	text p. 135-136	n/a	.	.	>Uca	.	.	.	
Kingsley1880.2	1	Gelasimus minax	.	text p. 399	location	"Northampton County, Virginia, USA"	.	minax	<	.	.	
Kingsley1880.2	2.1	Gelasimus pugilator	.	text p. 399	location	"Beaufort, North Carolina, USA"	.	pugilator	<	.	.	
Kingsley1880.2	2.2	Gelasimus pugilator	.	text p. 399	location	"Sarasota Bay, Florida, USA"	.	.	.	.	.	
Kingsley1880.2	3.1	Gelasimus vocator	.	text p. 400	location	"Northampton County, Virginia, USA"	.	minax	<	.	.	
Kingsley1880.2	3.2	Gelasimus vocator	.	text p. 400	location	"Beaufort, North Carolina, USA"	.	minax	<	.	.	
Kingsley1880.2	3.3	Gelasimus vocator	.	text p. 400	location	"Sarasota Bay, Florida, USA"	.	minax	<	.	.	
Lenz1881	1	Gelasimus vocans	.	text p. 423	location	Madagascar	.	hesperiae	>MSR:geography	.	.	
Lenz1881	2	Gelasimus Dussumieri	.	text p. 423	location	Madagascar	.	urvillei	Crane1975	.	.	
Lenz1881	3	Gelasimus annulipes	.	text p. 423	location	Madagascar	.	occidentalis	Naderloo2016	.	.	
Muller1881	1	Gelasimus	.	text p. 472	n/a	.	.	>Uca	.	.	.	
Packard1881	1	Gelasimus pugnax	.	text p. 784-788	location	"Fort Macon, North Carolina, USA"	.	pugnax	<	.	.	
TenisonWoods1881	1	Gelasimus coarctatus	.	text p. 119	location	"Port Douglas, Queensland, Australia"	.	.	.	.	.	
Miers1881	1.1	Gelasimus tangieri	.	"text p. 262-263, 375"	location	"Goree Island, Senegal"	.	tangeri	<	.	.	
Miers1881	1.2	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	Eydoux1835	1	=	=	.	.	
Miers1881	1.3	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	MilneEdwards1852	23	=	=	.	.	
Miers1881	1.4	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	Heller1863	2	=	=	.	.	
Miers1881	1.5	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	Kingsley1880	40	=	=	.	.	
Miers1881	1.6	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	Herklots1851	1	=	=	.	.	
Miers1881	1.7	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	MilneEdwards1852	30	=	=	.	.	
Miers1881	1.8	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	Hilgendorf1878	3	=	=	.	.	
Miers1881	1.9	Gelasimus tangieri	.	"text p. 262-263, 375"	citation	Kingsley1880	41	=	=	.	.	
Haswell1882	1.1	Gelasimus vocans	.	text p. 92	citation	Rumphius1705	1	=	=	.	.	
Haswell1882	1.2	Gelasimus vocans	.	text p. 92	citation	Linnaeus1758	1	=	=	.	.	
Haswell1882	1.3	Gelasimus vocans	.	text p. 92	citation	MilneEdwards1854.2	4	=	=	.	.	
Haswell1882	1.4	Gelasimus vocans	.	text p. 92	citation	MilneEdwards1852	4	=	=	.	.	
Haswell1882	1.5	Gelasimus vocans	.	text p. 92	citation	MilneEdwards1873	1	=	=	.	.	
Haswell1882	1.6	Gelasimus vocans	.	text p. 92	citation	Miers1880	1	=	=	.	.	
Haswell1882	1.7	Gelasimus vocans	.	text p. 92	location	Muyua Island	.	?	.	"Could be <em class=""species"">Uca vomeris</em> or <em class=""species"">U. jocelynae.</em>"	.	
Haswell1882	1.8	Gelasimus vocans	.	text p. 92	location	"Darwin, Northern Territory, Australia"	.	dampieri	>MSR:geography	.	.	
Haswell1882	1.9	Gelasimus vocans	.	text p. 92	location	"Louisiade Archipelago, Papua New Guinea"	.	?	.	"Could be <em class=""species"">Uca vomeris</em> or <em class=""species"">U. jocelynae.</em>"	.	
Haswell1882	2.1	Gelasimus arcuatus	.	text p. 92-93	citation	deHaan1835	6	=	=	.	.	
Haswell1882	2.2	Gelasimus arcuatus	.	text p. 92-93	citation	MilneEdwards1852	8	=	=	.	.	
Haswell1882	2.3	Gelasimus arcuatus	.	text p. 92-93	citation	MilneEdwards1873	3	=	=	.	.	
Haswell1882	2.4	Gelasimus arcuatus	.	text p. 92-93	citation	Miers1880	4	=	=	.	.	
Haswell1882	2.5	Gelasimus arcuatus	.	text p. 92-93	location	"Darwin, Northern Territory, Australia"	.	flammula	Crane1975	.	.	
Haswell1882	3.1	Gelsimus Dussumieri	.	text p. 93	citation	MilneEdwards1852	12	=	=	.	.	
Haswell1882	3.2	Gelsimus Dussumieri	.	text p. 93	citation	MilneEdwards1873	5	=	=	.	.	
Haswell1882	3.3	Gelsimus Dussumieri	.	text p. 93	location	"Moreton Bay, Queensland, Australia"	.	dussumieri	<	.	.	
Haswell1882	3.4	Gelsimus Dussumieri	.	text p. 93	location	"Darwin, Northern Territory, Australia"	.	flammula	Crane1975	.	.	
Haswell1882	4.1	Gelasimus coarctatus	.	text p. 93	citation	MilneEdwards1852	6	=	=	.	.	
Haswell1882	4.2	Gelasimus coarctatus	.	text p. 93	citation	MilneEdwards1873	2	=	=	.	.	
Haswell1882	5.1	Gelasimus forceps	.	text p. 93	citation	MilneEdwards1837.2	4	=	=	.	.	
Haswell1882	5.2	Gelasimus forceps	.	text p. 93	citation	MilneEdwards1852	10	=	=	.	.	
Haswell1882	6.1	Gelasimus signatus	.	text p. 93-94	citation	Hess1865	2	=	=	.	.	
Haswell1882	6.2	Gelasimus signatus	.	text p. 93-94	location	"Sydney, New South Wales, Australia"	.	signata	<	Author thinks location is doutful.	.	
Haswell1882	7.1	Gelasimus variatus	.	text p. 94	citation	Hess1865	3	=	=	.	.	
Haswell1882	7.2	Gelasimus variatus	.	text p. 94	location	"Sydney, New South Wales, Australia"	.	tetragonon	>MSR:synonymy	Author thinks location is doutful.	.	
Hilgendorf1882	1	Gelasimus Tangeri	.	text p. 24	location	"Rufisque, Senegal"	.	tangeri	<	.	.	
Twain1883	1	.	fiddlers	chapter 48	n/a	.	.	>Uca	.	.	.	
Studer1883	1.1	Gelasimus perlatus	.	text p. 13-14	citation	Herklots1851	1	=	=	.	.	
Studer1883	1.2	Gelasimus perlatus	.	text p. 13-14	location	West coast of Africa	.	tangeri	Crane1975	.	.	
Studer1883	2	Gelasimus Tangeri	.	text p. 13-14	citation	Eydoux1835	1	=	=	.	.	
Rochebrune1883	1	Gelasimus cimatodus	.	text p. 171-172	location	Senegal	.	tangeri	Crane1975	.	.	
Miers1884.1	1.1	Gelasimus signatus	.	text p. 236-237	location	"Port Curtis, Queensland, Australia"	.	signata	<	.	.	
Miers1884.1	1.2	Gelasimus signatus	.	text p. 236-237	citation	Hess1865	2	=	=	.	.	
Miers1884.1	1.3	Gelasimus signatus	.	text p. 236-237	citation	White1847.1	9.1	=	=	.	.	
Miers1884.2	1.1	Gelasimus annulipes	.	text p. 541	location	"Mahé, Seychelles"	.	.	.	.	.	
Miers1884.2	1.2	Gelasimus annulipes	.	text p. 541	location	"Zambesi River, Mozambique"	.	.	.	.	.	
Miers1884.2	1.3	Gelasimus annulipes	.	text p. 541	location	"Durban Bay, South Africa"	.	.	.	.	.	
Miers1884.2	1.4	Gelasimus annulipes	.	text p. 541	location	"Sulawesi, Indonesia"	.	.	.	.	.	
Miers1884.2	1.5	Gelasimus annulipes	.	text p. 541	location	"Bacan, Maluku Islands, Indonesia"	.	.	.	.	.	
Miers1884.2	1.6	Gelasimus annulipes	.	text p. 541	location	"Tanimbar Islands, Indonesia"	.	.	.	.	.	
Miers1884.2	2	Gelasimus tetragonon	.	text p. 541	n/a	.	.	.	.	.	.	
Miers1884.2	3	Gelasimus vocans	.	text p. 541	n/a	.	.	.	.	.	.	
Miers1884.2	4	Gelasimus annulipes var. albimana	.	text p. 541	citation	Kossmann1877	19	=	=	.	.	
Miers1884.2	5.1	Gelasimus dussumieri	.	text p. 541-542	location	"Mahé, Seychelles"	.	.	.	.	.	
Miers1884.2	5.2	Gelasimus dussumieri	.	text p. 541-542	citation	MilneEdwards1852	12	=	=	.	.	
Miers1884.2	5.3	Gelasimus dussumieri	.	text p. 541-542	citation	Hilgendorf1869	3	=	=	.	.	
Miers1884.2	5.4	Gelasimus dussumieri	.	text p. 541-542	citation	Hoffmann1874	4	=	=	.	.	
Miers1884.2	5.5	Gelasimus dussumieri	.	text p. 541-542	location	New Caledonia	.	.	.	.	.	
Rathbun1884	1	Gelasimus pugilator	Fiddler Crabs	text p. 763-765	location	Atlantic coast of United States	.	pugilator	<	.	.	
Rathbun1884	2	Gelasimus pugnax	Fiddler Crabs	text p. 763-765	location	Atlantic coast of United States	.	pugnax	<	.	.	
Rathbun1884	3	Gelasimus minax	Fiddler Crabs	text p. 763-765	location	Atlantic coast of United States	.	minax	<	.	.	
Carus1885	1	Gelasimus coarctatus	.	text p. 522	citation	Stossich1880	1.1	=	=	.	.	
Carus1885	2	Gelasimus tangieri	.	text p. 522	location	"Tangier, Morocco"	.	tangeri	<	.	.	
Filhol1885	1	Gelassimus Huttoni	.	"text p. 14-15, 51"	specimen	"Otago, New Zealand"	.	?	Crane1975	.	.	
Filhol1885	2	Gelassimus Thompsoni	.	text p. 51	location	New Zealand	.	?	Crane1975	.	.	
Filhol1885.2	1	Gelassimus Huttoni	.	"text p. 386-387, 496; plate 45: figures 1-4, 9-12"	specimen	"Otago, New Zealand"	.	?	Crane1975	.	.	
Filhol1885.2	2	Gelassimus Thompsoni	.	"text p. 387, 496"	citation	Kirk1880	1	=	=	.	.	
Miers1886	1	Gelasimus thomsoni	.	text p. 241	citation	Kirk1880	1	=	=	.	.	
Miers1886	2	Gelasimus cimatodus	.	text p. 241	citation	Rochebrune1883	1	=	=	.	.	
Miers1886	3.1	Gelasimus vocans	.	"text p. xxiv, xxvii, xxxvii, xlviii, 242-243"	location	Fiji	.	excisa	>MSR:geography	.	.	
Miers1886	3.2	Gelasimus vocans	.	"text p. xxiv, xxvii, xxxvii, xlviii, 242-243"	location	"Aru Islands, Indonesia"	.	jocelynae	>MSR:geography	.	.	
Miers1886	3.3	Gelasimus vocans	.	"text p. xxiv, xxvii, xxxvii, xlviii, 242-243"	citation	Linnaeus1766	1	=	=	.	.	
Miers1886	3.4	Gelasimus vocans	.	"text p. xxiv, xxvii, xxxvii, xlviii, 242-243"	citation	MilneEdwards1852	4	=	=	.	.	
Miers1886	3.5	Gelasimus vocans	.	"text p. xxiv, xxvii, xxxvii, xlviii, 242-243"	citation	Dana1852	4	=	=	.	.	
Miers1886	4.1	Gelasimus rubripes	.	"text p. xxviii, xxxvii, xlviii, 243"	location	"Zamboanga, Minanao, Philippines"	.	.	.	.	.	
Miers1886	4.2	Gelasimus rubripes	.	"text p. xxviii, xxxvii, xlviii, 243"	location	Philippines	.	.	.	.	.	
Miers1886	4.3	Gelasimus rubripes	.	"text p. xxviii, xxxvii, xlviii, 243"	citation	Jacquinot1846	1	=	=	.	.	
Miers1886	4.4	Gelasimus rubripes	.	"text p. xxviii, xxxvii, xlviii, 243"	citation	MilneEdwards1852	28	=	=	.	.	
Miers1886	4.5	Gelasimus rubripes	.	"text p. xxviii, xxxvii, xlviii, 243"	citation	Kingsley1880	20	=	=	.	.	
Miers1886	5.1	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	location	"Aru Islands, Indonesia"	.	tetragonon	<	.	.	
Miers1886	5.2	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	location	Tahiti	.	tetragonon	<	.	.	
Miers1886	5.3	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	location	French Polynesia	.	tetragonon	<	.	.	
Miers1886	5.4	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	citation	Herbst1790	1	=	=	.	.	
Miers1886	5.5	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	citation	Ruppell1830	1	=	=	.	.	
Miers1886	5.6	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	citation	MilneEdwards1852	9	=	=	.	.	
Miers1886	5.7	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	citation	MilneEdwards1837.2	5	=	=	.	.	
Miers1886	5.8	Gelasimus tetragonon	.	"text p. xxvii, xxxi, xxxvii, xlviii, 243"	citation	Kingsley1880	13	=	=	.	.	
Miers1886	6.01	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	location	Fiji	.	perplexa	>MSR:geography	.	.	
Miers1886	6.02	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	location	"Zamboanga, Minanao, Philippines"	.	.	.	.	.	
Miers1886	6.03	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	location	Philippines	.	.	.	.	.	
Miers1886	6.04	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	location	"Kandavu, Fiji"	.	.	.	.	.	
Miers1886	6.05	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	location	"Matuku, Fiji"	.	.	.	.	.	
Miers1886	6.06	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	MilneEdwards1837.2	10	=	=	.	.	
Miers1886	6.07	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	MilneEdwards1852	17	=	=	.	.	
Miers1886	6.08	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	Hilgendorf1878	1	=	=	.	.	
Miers1886	6.09	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	Kingsley1880	28	=	=	.	.	
Miers1886	6.1	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	White1847.1	16	=	=	.	.	
Miers1886	6.11	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	Adams1848	4	=	=	.	.	
Miers1886	6.12	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	MilneEdwards1852	31	=	=	.	.	
Miers1886	6.13	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	Kingsley1880	45	=	=	.	.	
Miers1886	6.14	Gelasimus annulipes	.	"text p. xxiv, xxviii, xxxvii, xlviii, 244-245"	citation	MilneEdwards1852	20	=	=	.	.	
